
123057,CLARK FORKLIFT 057,2023-09-10,Yes,item 7,"multi 1, multi 2, multi 3"
123058,CLARK FORKLIFT 058,2023-10-10,No,item 8,"multi 4, multi 5, multi 6"
123059,CLARK FORKLIFT 059,2023-11-10,Yes,item 9,"multi 7, multi 8, multi 9"
123060,CLARK FORKLIFT 060,2023-12-10,No,item 10,"multi 10, multi 1, multi 2"
123061,CLARK FORKLIFT 061,2024-01-10,Yes,item 1,"multi 3, multi 4, multi 5"
123062,CLARK FORKLIFT 062,2024-02-10,No,item 2,"multi 6, multi 7, multi 8"
123063,CLARK FORKLIFT 063,2024-03-10,Yes,item 3,"multi 9, multi 10, multi1, multi 2"
123064,CLARK FORKLIFT 064,2024-04-10,No,item 4,"multi 3, multi 4, multi 5, multi 6"
123065,CLARK FORKLIFT 065,2024-05-10,Yes,item 5,"multi 7, multi 8, multi 9, multi 10"
123066,CLARK FORKLIFT 066,2024-06-10,No,item 6,"multi 1, multi 3, multi 5, multi 7, multi 9"
123067,CLARK FORKLIFT 067,2024-07-10,Yes,item 7,"multi 2, multi 4, multi 6, multi 8, multi 10"
123068,CLARK FORKLIFT 068,2024-08-10,No,item 8,"multi 1, multi 3, multi 5, multi 7, multi 9"
123069,CLARK FORKLIFT 069,2024-09-10,Yes,item 9,"multi 2, multi 4, multi 6, multi 8, multi 10"
123070,CLARK FORKLIFT 070,2024-10-10,No,item 10,"multi 1, multi 2, multi 3"
123071,CLARK FORKLIFT 071,2024-11-10,Yes,item 1,"multi 4, multi 5, multi 6"
123072,CLARK FORKLIFT 072,2024-12-10,No,item 2,"multi 7, multi 8, multi 9"
123073,CLARK FORKLIFT 073,2025-01-10,Yes,item 3,"multi 10, multi 1, multi 2"
123074,CLARK FORKLIFT 074,2025-02-10,No,item 4,"multi 3, multi 4, multi 5"
123075,CLARK FORKLIFT 075,2025-03-10,Yes,item 5,"multi 6, multi 7, multi 8"
123076,CLARK FORKLIFT 076,2025-04-10,No,item 6,"multi 9, multi 10, multi1, multi 2"
123077,CLARK FORKLIFT 077,2025-05-10,Yes,item 7,"multi 3, multi 4, multi 5, multi 6"
123078,CLARK FORKLIFT 078,2025-06-10,No,item 8,"multi 7, multi 8, multi 9, multi 10"
123079,CLARK FORKLIFT 079,2025-07-10,Yes,item 9,"multi 1, multi 3, multi 5, multi 7, multi 9"
123080,CLARK FORKLIFT 080,2025-08-10,No,item 10,"multi 2, multi 4, multi 6, multi 8, multi 10"
123081,CLARK FORKLIFT 081,2025-09-10,Yes,item 1,"multi 1, multi 3, multi 5, multi 7, multi 9"
123082,CLARK FORKLIFT 082,2025-10-10,No,item 2,"multi 2, multi 4, multi 6, multi 8, multi 10"
123083,CLARK FORKLIFT 083,2025-11-10,Yes,item 3,"multi 1, multi 2, multi 3"
123084,CLARK FORKLIFT 084,2025-12-10,No,item 4,"multi 4, multi 5, multi 6"
123085,CLARK FORKLIFT 085,2026-01-10,Yes,item 5,"multi 7, multi 8, multi 9"
123086,CLARK FORKLIFT 086,2026-02-10,No,item 6,"multi 10, multi 1, multi 2"
123087,CLARK FORKLIFT 087,2026-03-10,Yes,item 7,"multi 3, multi 4, multi 5"
123088,CLARK FORKLIFT 088,2026-04-10,No,item 8,"multi 6, multi 7, multi 8"
123089,CLARK FORKLIFT 089,2026-05-10,Yes,item 9,"multi 9, multi 10, multi1, multi 2"
123090,CLARK FORKLIFT 090,2026-06-10,No,item 10,"multi 3, multi 4, multi 5, multi 6"
123091,CLARK FORKLIFT 091,2026-07-10,Yes,item 1,"multi 7, multi 8, multi 9, multi 10"
123092,CLARK FORKLIFT 092,2026-08-10,No,item 2,"multi 1, multi 3, multi 5, multi 7, multi 9"
123093,CLARK FORKLIFT 093,2026-09-10,Yes,item 3,"multi 2, multi 4, multi 6, multi 8, multi 10"
123094,CLARK FORKLIFT 094,2026-10-10,No,item 4,"multi 1, multi 3, multi 5, multi 7, multi 9"
123095,CLARK FORKLIFT 095,2026-11-10,Yes,item 5,"multi 2, multi 4, multi 6, multi 8, multi 10"
123096,CLARK FORKLIFT 096,2026-12-10,No,item 6,"multi 1, multi 2, multi 3"
123097,CLARK FORKLIFT 097,2027-01-10,Yes,item 7,"multi 4, multi 5, multi 6"
123098,CLARK FORKLIFT 098,2027-02-10,No,item 8,"multi 7, multi 8, multi 9"
123099,CLARK FORKLIFT 099,2027-03-10,Yes,item 9,"multi 10, multi 1, multi 2"
123100,CLARK FORKLIFT 100,2027-04-10,No,item 10,"multi 3, multi 4, multi 5"
