CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
123001,CLARK FORKLIFT 001 - aangepast,2019-01-10,Yes,item 1,"multi 1, multi 3, multi 5, multi 7, multi 9"
123002,CLARK FORKLIFT 002,2019-02-10,No,item 2,"multi 2, multi 4, multi 6, multi 8, multi 10"
123003,CLARK FORKLIFT 003,2019-03-10,Yes,item 3,"multi 1, multi 3, multi 5, multi 7, multi 9"
123004,CLARK FORKLIFT 004,2019-04-10,No,item 4,"multi 2, multi 4, multi 6, multi 8, multi 10"
123005,CLARK FORKLIFT 005,2019-05-10,Yes,item 5,"multi 1, multi 2, multi 3"
123006,CLARK FORKLIFT 006,2019-06-10,No,item 6,"multi 4, multi 5, multi 6"
123007,CLARK FORKLIFT 007,2019-07-10,Yes,item 7,"multi 7, multi 8, multi 9"
123008,CLARK FORKLIFT 008,2019-08-10,No,item 8,"multi 10, multi 1, multi 2"
123009,CLARK FORKLIFT 009,2019-09-10,Yes,item 9,"multi 3, multi 4, multi 5"
123010,CLARK FORKLIFT 010,2019-10-10,No,item 10,"multi 6, multi 7, multi 8"
123011,CLARK FORKLIFT 011,2019-11-10,Yes,item 1,"multi 9, multi 10, multi1, multi 2"
123012,CLARK FORKLIFT 012,2019-12-10,No,item 2,"multi 3, multi 4, multi 5, multi 6"
123013,CLARK FORKLIFT 013,2020-01-10,Yes,item 3,"multi 7, multi 8, multi 9, multi 10"
123014,CLARK FORKLIFT 014,2020-02-10,No,item 4,"multi 1, multi 3, multi 5, multi 7, multi 9"
123015,CLARK FORKLIFT 015,2020-03-10,Yes,item 5,"multi 2, multi 4, multi 6, multi 8, multi 10"
123016,CLARK FORKLIFT 016,2020-04-10,No,item 6,"multi 1, multi 3, multi 5, multi 7, multi 9"
123017,CLARK FORKLIFT 017,2020-05-10,Yes,item 7,"multi 2, multi 4, multi 6, multi 8, multi 10"
123018,CLARK FORKLIFT 018,2020-06-10,No,item 8,"multi 1, multi 2, multi 3"
123019,CLARK FORKLIFT 019,2020-07-10,Yes,item 9,"multi 4, multi 5, multi 6"
123020,CLARK FORKLIFT 020,2020-08-10,No,item 10,"multi 7, multi 8, multi 9"
123021,CLARK FORKLIFT 021,2020-09-10,Yes,item 1,"multi 10, multi 1, multi 2"
123022,CLARK FORKLIFT 022,2020-10-10,No,item 2,"multi 3, multi 4, multi 5"
123023,CLARK FORKLIFT 023,2020-11-10,Yes,item 3,"multi 6, multi 7, multi 8"
123024,CLARK FORKLIFT 024,2020-12-10,No,item 4,"multi 9, multi 10, multi1, multi 2"
123025,CLARK FORKLIFT 025,2021-01-10,Yes,item 5,"multi 3, multi 4, multi 5, multi 6"
123026,CLARK FORKLIFT 026,2021-02-10,No,item 6,"multi 7, multi 8, multi 9, multi 10"
123027,CLARK FORKLIFT 027,2021-03-10,Yes,item 7,"multi 1, multi 3, multi 5, multi 7, multi 9"
123028,CLARK FORKLIFT 028,2021-04-10,No,item 8,"multi 2, multi 4, multi 6, multi 8, multi 10"
123029,CLARK FORKLIFT 029,2021-05-10,Yes,item 9,"multi 1, multi 3, multi 5, multi 7, multi 9"
123030,CLARK FORKLIFT 030,2021-06-10,No,item 10,"multi 2, multi 4, multi 6, multi 8, multi 10"
123031,CLARK FORKLIFT 031,2021-07-10,Yes,item 1,"multi 1, multi 2, multi 3"
123032,CLARK FORKLIFT 032,2021-08-10,No,item 2,"multi 4, multi 5, multi 6"
123033,CLARK FORKLIFT 033,2021-09-10,Yes,item 3,"multi 7, multi 8, multi 9"
123034,CLARK FORKLIFT 034,2021-10-10,No,item 4,"multi 10, multi 1, multi 2"
123035,CLARK FORKLIFT 035,2021-11-10,Yes,item 5,"multi 3, multi 4, multi 5"
123036,CLARK FORKLIFT 036,2021-12-10,No,item 6,"multi 6, multi 7, multi 8"
