CSV_DATE,CSV_ID,CSV_NAME,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
01/10/2019,421001,DATE FORMAT DD-MM-YYYY,Yes,item 1,multi 10
05-31-2019,421002,DATE FORMAT MM-DD-YYYY,Yes,item 1,multi 10
31/05/2019,421003,DATE FORMAT DD-MM-YYYY,Yes,item 1,multi 10
2019-31-05,421004,DATE FORMAT YYYY-DD-MM,Yes,item 1,multi 10
01/10/2019,421005,DATE FORMAT DD-MM-YY,Yes,item 1,multi 10
05-31-19,421006,DATE FORMAT MM-DD-YY,Yes,item 1,multi 10
19/05/1931,421007,DATE FORMAT YY-MM-DD,Yes,item 1,multi 10
"Jan 15,2019",421008,DATE FORMAT monthname day comma year,Yes,item 1,multi 10
19/05/1931,421009,DATE FORMAT YY-M-D,Yes,item 1,multi 10
31/05/2019,421010,DATE FORMAT D-M-YY,Yes,item 1,multi 10
31/05/2019,421011,DATE FORMAT YYYY/MM/DD,Yes,item 1,multi 10
19/05/1931,421012,DATE FORMAT YY/MM/DD,Yes,item 1,multi 10
05/31/19,421012,DATE FORMAT MM/DD/YY,Yes,item 1,multi 10
31/05/2019,421013,DATE FORMAT DD/MM/YY,Yes,item 1,multi 10
31/05/2019,421014,DATE FORMAT D/M/YY,Yes,item 1,multi 10
01/05/2019,421015,DATE FORMAT D/M/YY,Yes,item 1,multi 10
19/05/1931,421016,DATE FORMAT YY/M/D,Yes,item 1,multi 10
19/05/2001,421017,DATE FORMAT YY/M/D,Yes,item 1,multi 10
19/05/2001,421018,DATE FORMAT YY/M/D,Yes,item 1,multi 10
5/31/19,421019,DATE FORMAT M/D/YY,Yes,item 1,multi 10
31/05/2019,421020,DATE FORMAT D/M/YY,Yes,item 1,multi 10
01/05/2019,421021,DATE FORMAT D/M/YY,Yes,item 1,multi 10
