CSV_DATE,CSV_ID,CSV_NAME,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
01/10/2019,521001,DATE FORMAT DD-MM-YYYY,Yes,item 1,multi 10
05-31-2019,521002,DATE FORMAT MM-DD-YYYY,Yes,item 1,multi 10
31/05/2019,521003,DATE FORMAT DD-MM-YYYY,Yes,item 1,multi 10
2019-31-05,521004,DATE FORMAT YYYY-DD-MM,Yes,item 1,multi 10
01/10/2019,521005,DATE FORMAT DD-MM-YY,Yes,item 1,multi 10
05-31-19,521006,DATE FORMAT MM-DD-YY,Yes,item 1,multi 10
19/05/31,521007,DATE FORMAT YY-MM-DD,Yes,item 1,multi 10
"Jan 15,2019",521008,DATE FORMAT monthname day comma year,Yes,item 1,multi 10
19/05/31,521009,DATE FORMAT YY-M-D,Yes,item 1,multi 10
31/05/2019,521010,DATE FORMAT D-M-YY,Yes,item 1,multi 10
31/05/2019,521011,DATE FORMAT YYYY/MM/DD,Yes,item 1,multi 10
19/05/31,521012,DATE FORMAT YY/MM/DD,Yes,item 1,multi 10
05/31/19,521012,DATE FORMAT MM/DD/YY,Yes,item 1,multi 10
31/05/2019,521013,DATE FORMAT DD/MM/YY,Yes,item 1,multi 10
31/05/2019,521014,DATE FORMAT D/M/YY,Yes,item 1,multi 10
01/05/2019,521015,DATE FORMAT D/M/YY,Yes,item 1,multi 10
19/05/31,521016,DATE FORMAT YY/M/D,Yes,item 1,multi 10
19/05/2001,521017,DATE FORMAT YY/M/D,Yes,item 1,multi 10
19/05/2001,521018,DATE FORMAT YY/M/D,Yes,item 1,multi 10
5/31/19,521019,DATE FORMAT M/D/YY,Yes,item 1,multi 10
31/05/2019,521020,DATE FORMAT D/M/YY,Yes,item 1,multi 10
01/05/2019,521021,DATE FORMAT D/M/YY,Yes,item 1,multi 10
