CSV_DATE,CSV_ID,CSV_NAME,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
01/10/2019,821001,DATE FORMAT DD/MM/YYYY 1 oct 2019,Yes,item 1,multi 10
01/10/2019 10:12:13.200,821002,DATE FORMAT DD/MM/YYYY 1 oct 2019 10:12:13,Yes,item 1,multi 10
01/10/2019 17:12:13.200,821003,DATE FORMAT DD/MM/YYYY 1 oct 2019 17:12:13,Yes,item 1,multi 10
01/10/2019 5:12:13.200 AM,821004,DATE FORMAT DD/MM/YYYY 1 oct 2019 5:12:13 AM,Yes,item 1,multi 10
01-10-2019,821005,DATE FORMAT DD-MM-YYYY 1 oct 2019,Yes,item 1,multi 10
01-10-2019 10:12:13.200,821006,DATE FORMAT DD-MM-YYYY 1 oct 2019 10:12:13.200,Yes,item 1,multi 10
1-2-2019,821007,DATE FORMAT D-M-YYYY 1 Feb 2019,Yes,item 1,multi 10
1-2-2019 10:12:13.200,821008,DATE FORMAT D-M-YYYY 1 Feb 2019 10:12:13.200,Yes,item 1,multi 10
1-2-19,821009,DATE FORMAT D-M-YY 1 Feb 2019,Yes,item 1,multi 10
1-2-19 10:12:13.200,821010,DATE FORMAT D-M-YY 1 Feb 2019  10:12:13.200,Yes,item 1,multi 10
2019-10-01,821011,DATE FORMAT YYYY-MM-DD 1 oct 2019,Yes,item 1,multi 10
2019-10-01 10:12:13.200,821012,DATE FORMAT YYYY-MM-DD 1 oct 2019 10:12:13.200,Yes,item 1,multi 10
2019-10-1,821013,DATE FORMAT YYYY-M-D 1 oct 2019,Yes,item 1,multi 10
2019-10-1 10:12:13.200,821014,DATE FORMAT YYYY-M-D 1 oct 2019,Yes,item 1,multi 10
2019-2-1,821015,DATE FORMAT YYYY-M-D 1 Feb 2019,Yes,item 1,multi 10
2019-2-1 10:12:13.200,821016,DATE FORMAT YYYY-M-D 1 Feb 2019 10:12:13.200,Yes,item 1,multi 10
2019-02-01,821017,DATE FORMAT YYYY-MM-DD 1 Feb 2019,Yes,item 1,multi 10
2019-02-01 10:12:13.200,821018,DATE FORMAT YYYY-MM-DD 1 Feb 2019 10:12:13.200,Yes,item 1,multi 10
2019-5-31 10:12:13.200,821019,DATE FORMAT YYYY-MM-DDThh:mm:ss.sss 31 may 2019 10:12:13,Yes,item 1,multi 10
2019-05-01 10:12:13.200,821020,DATE FORMAT YYYY-MM-DDThh:mm:ss.sss 1 may 2019 10:12:13,Yes,item 1,multi 10
2019-5-1,821021,DATE FORMAT YYYY-M-D 1 may 2019,Yes,item 1,multi 10
2019-5-1 10:12:13.200,821022,DATE FORMAT YYYY-M-D 1 may 2019 10:12:13.200,Yes,item 1,multi 10
19-5-1,821023,DATE FORMAT YY-M-D 1 may 2019,Yes,item 1,multi 10
19-5-1 10:12:13.200,821024,DATE FORMAT YY-M-D 1 may 2019 10:12:13.200,Yes,item 1,multi 10
19-5-31,821025,DATE FORMAT YY-M-D 1 may 2019,Yes,item 1,multi 10
19-5-31 10:12:13.200,821026,DATE FORMAT YY-M-D 1 may 2019 10:12:13.200,Yes,item 1,multi 10
19-05-01,821027,DATE FORMAT YY-MM-DD 1 may 2019,Yes,item 1,multi 10
19-05-01 10:12:13.200,821028,DATE FORMAT YY-MM-DD 1 may 2019 10:12:13.200,Yes,item 1,multi 10
5/31/19,821029,DATE FORMAT M/D/YY 31 may 2019,Yes,item 1,multi 10
5/31/19 10:12:13.200,821030,DATE FORMAT M/D/YY 31 may 2019 10:12:13.200,Yes,item 1,multi 10
5/1/19,821031,DATE FORMAT M/D/YY 1 may 2019,Yes,item 1,multi 10
5/1/19 10:12:13.200,821032,DATE FORMAT M/D/YY 1 may 2019 10:12:13.200,Yes,item 1,multi 10
5-1-19,821033,DATE FORMAT M-D-YY 1 may 2019,Yes,item 1,multi 10
5-1-19 10:12:13.200,821034,DATE FORMAT M-D-YY 1 may 2019 10:12:13.200,Yes,item 1,multi 10
5-31-19,821035,DATE FORMAT M-D-YY 31 may 2019,Yes,item 1,multi 10
5-31-19 10:12:13.200,821036,DATE FORMAT M-D-YY 31 may 2019 10:12:13.200,Yes,item 1,multi 10
2019-5-31 10:12,821037,DATE FORMAT YYYY-MM-DDThh:mm 31 may 2019 10:12,Yes,item 1,multi 10
2019-5-31 10:12:13,821038,DATE FORMAT YYYY-MM-DDThh:mm 31 may 2019 10:12:13,Yes,item 1,multi 10
2019-05-31T10:12:13.352Z,821039,DATE FORMAT YYYY-MM-DDThh:mm:ss.sssZ 31 may 2019T10:12:13.352,Yes,item 1,multi 10
