CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
222001,FORK PLATFORM 2.2.2 - 001,2023-11-07,Yes,item 1,"multi 1,multi 2,multi 3"
222002,FORK PLATFORM 2.2.2 - 002,06/11/2023,No,item 2,"multi 1,multi 3,multi 5"
222003,FORK PLATFORM 2.2.2 - 003,2023-10-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
222004,FORK PLATFORM 2.2.2 - 004,2023-11-07,Yes,item 4,"multi 1,multi 2,multi 3"
222005,FORK PLATFORM 2.2.2 - 005,06/11/2023,No,item 5,"multi 1,multi 3,multi 5"
222006,FORK PLATFORM 2.2.2 - 006,2023-10-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
222007,FORK PLATFORM 2.2.2 - 007,2023-11-07,Yes,item 7,"multi 1,multi 2,multi 3"
222008,FORK PLATFORM 2.2.2 - 008,06/11/2023,No,item 8,"multi 1,multi 3,multi 5"
222009,FORK PLATFORM 2.2.2 - 009,2023-10-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
222010,FORK PLATFORM 2.2.2 - 010,2023-11-07,Yes,item 10,"multi 1,multi 2,multi 3"
222011,FORK PLATFORM 2.2.2 - 011,06/11/2023,No,item 1,"multi 1,multi 3,multi 5"
222012,FORK PLATFORM 2.2.2 - 012,2023-10-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
222013,FORK PLATFORM 2.2.2 - 013,2023-11-07,Yes,item 3,"multi 1,multi 2,multi 3"
222014,FORK PLATFORM 2.2.2 - 014,06/11/2023,No,item 4,"multi 1,multi 3,multi 5"
222015,FORK PLATFORM 2.2.2 - 015,2023-10-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
222016,FORK PLATFORM 2.2.2 - 016,2023-11-07,Yes,item 6,"multi 1,multi 2,multi 3"
222017,FORK PLATFORM 2.2.2 - 017,06/11/2023,No,item 7,"multi 1,multi 3,multi 5"
222018,FORK PLATFORM 2.2.2 - 018,2023-10-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
222019,FORK PLATFORM 2.2.2 - 019,2023-11-07,Yes,item 9,"multi 1,multi 2,multi 3"
222020,FORK PLATFORM 2.2.2 - 020,06/11/2023,No,item 10,"multi 1,multi 3,multi 5"
222021,FORK PLATFORM 2.2.2 - 021,2023-10-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
222022,FORK PLATFORM 2.2.2 - 022,2023-11-07,Yes,item 2,"multi 1,multi 2,multi 3"
222023,FORK PLATFORM 2.2.2 - 023,06/11/2023,No,item 3,"multi 1,multi 3,multi 5"
222024,FORK PLATFORM 2.2.2 - 024,2023-10-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
222025,FORK PLATFORM 2.2.2 - 025,2023-11-07,Yes,item 5,"multi 1,multi 2,multi 3"
222026,FORK PLATFORM 2.2.2 - 026,06/11/2023,No,item 6,"multi 1,multi 3,multi 5"
222027,FORK PLATFORM 2.2.2 - 027,2023-10-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
222028,FORK PLATFORM 2.2.2 - 028,2023-11-07,Yes,item 8,"multi 1,multi 2,multi 3"
222029,FORK PLATFORM 2.2.2 - 029,06/11/2023,No,item 9,"multi 1,multi 3,multi 5"
222030,FORK PLATFORM 2.2.2 - 030,2023-10-07,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
222031,FORK PLATFORM 2.2.2 - 031,2023-11-07,Yes,item 1,"multi 1,multi 2,multi 3"
222032,FORK PLATFORM 2.2.2 - 032,06/11/2023,No,item 2,"multi 1,multi 3,multi 5"
222033,FORK PLATFORM 2.2.2 - 033,2023-10-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
222034,FORK PLATFORM 2.2.2 - 034,2023-11-07,Yes,item 4,"multi 1,multi 2,multi 3"
222035,FORK PLATFORM 2.2.2 - 035,06/11/2023,No,item 5,"multi 1,multi 3,multi 5"
222036,FORK PLATFORM 2.2.2 - 036,2023-10-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
222037,FORK PLATFORM 2.2.2 - 037,2023-11-07,Yes,item 7,"multi 1,multi 2,multi 3"
222038,FORK PLATFORM 2.2.2 - 038,06/11/2023,No,item 8,"multi 1,multi 3,multi 5"
222039,FORK PLATFORM 2.2.2 - 039,2023-10-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
222040,FORK PLATFORM 2.2.2 - 040,2023-11-07,Yes,item 10,"multi 1,multi 2,multi 3"
222041,FORK PLATFORM 2.2.2 - 041,06/11/2023,No,item 1,"multi 1,multi 3,multi 5"
222042,FORK PLATFORM 2.2.2 - 042,2023-10-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
222043,FORK PLATFORM 2.2.2 - 043,2023-11-07,Yes,item 3,"multi 1,multi 2,multi 3"
222044,FORK PLATFORM 2.2.2 - 044,06/11/2023,No,item 4,"multi 1,multi 3,multi 5"
222045,FORK PLATFORM 2.2.2 - 045,2023-10-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
222046,FORK PLATFORM 2.2.2 - 046,2023-11-07,Yes,item 6,"multi 1,multi 2,multi 3"
222047,FORK PLATFORM 2.2.2 - 047,06/11/2023,No,item 7,"multi 1,multi 3,multi 5"
222048,FORK PLATFORM 2.2.2 - 048,2023-10-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
222049,FORK PLATFORM 2.2.2 - 049,2023-11-07,Yes,item 9,"multi 1,multi 2,multi 3"
222050,FORK PLATFORM 2.2.2 - 050,06/11/2023,No,item 10,"multi 1,multi 3,multi 5"
222051,FORK PLATFORM 2.2.2 - 051,2023-10-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
222052,FORK PLATFORM 2.2.2 - 052,2023-11-07,Yes,item 2,"multi 1,multi 2,multi 3"
222053,FORK PLATFORM 2.2.2 - 053,06/11/2023,No,item 3,"multi 1,multi 3,multi 5"
222054,FORK PLATFORM 2.2.2 - 054,2023-10-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
222055,FORK PLATFORM 2.2.2 - 055,2023-11-07,Yes,item 5,"multi 1,multi 2,multi 3"
222056,FORK PLATFORM 2.2.2 - 056,06/11/2023,No,item 6,"multi 1,multi 3,multi 5"
222057,FORK PLATFORM 2.2.2 - 057,2023-10-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
222058,FORK PLATFORM 2.2.2 - 058,2023-11-07,Yes,item 8,"multi 1,multi 2,multi 3"
222059,FORK PLATFORM 2.2.2 - 059,06/11/2023,No,item 9,"multi 1,multi 3,multi 5"
222060,FORK PLATFORM 2.2.2 - 060,2023-10-07,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
222061,FORK PLATFORM 2.2.2 - 061,2023-11-07,Yes,item 1,"multi 1,multi 2,multi 3"
222062,FORK PLATFORM 2.2.2 - 062,06/11/2023,No,item 2,"multi 1,multi 3,multi 5"
222063,FORK PLATFORM 2.2.2 - 063,2023-10-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
222064,FORK PLATFORM 2.2.2 - 064,2023-11-07,Yes,item 4,"multi 1,multi 2,multi 3"
222065,FORK PLATFORM 2.2.2 - 065,06/11/2023,No,item 5,"multi 1,multi 3,multi 5"
222066,FORK PLATFORM 2.2.2 - 066,2023-10-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
222067,FORK PLATFORM 2.2.2 - 067,2023-11-07,Yes,item 7,"multi 1,multi 2,multi 3"
222068,FORK PLATFORM 2.2.2 - 068,06/11/2023,No,item 8,"multi 1,multi 3,multi 5"
222069,FORK PLATFORM 2.2.2 - 069,2023-10-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
222070,FORK PLATFORM 2.2.2 - 070,2023-11-07,Yes,item 10,"multi 1,multi 2,multi 3"
222071,FORK PLATFORM 2.2.2 - 071,06/11/2023,No,item 1,"multi 1,multi 3,multi 5"
222072,FORK PLATFORM 2.2.2 - 072,2023-10-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
222073,FORK PLATFORM 2.2.2 - 073,2023-11-07,Yes,item 3,"multi 1,multi 2,multi 3"
222074,FORK PLATFORM 2.2.2 - 074,06/11/2023,No,item 4,"multi 1,multi 3,multi 5"
222075,FORK PLATFORM 2.2.2 - 075,2023-10-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
222076,FORK PLATFORM 2.2.2 - 076,2023-11-07,Yes,item 6,"multi 1,multi 2,multi 3"
222077,FORK PLATFORM 2.2.2 - 077,06/11/2023,No,item 7,"multi 1,multi 3,multi 5"
222078,FORK PLATFORM 2.2.2 - 078,2023-10-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
222079,FORK PLATFORM 2.2.2 - 079,2023-11-07,Yes,item 9,"multi 1,multi 2,multi 3"
222080,FORK PLATFORM 2.2.2 - 080,06/11/2023,No,item 10,"multi 1,multi 3,multi 5"
222081,FORK PLATFORM 2.2.2 - 081,2023-10-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
222082,FORK PLATFORM 2.2.2 - 082,2023-11-07,Yes,item 2,"multi 1,multi 2,multi 3"
222083,FORK PLATFORM 2.2.2 - 083,06/11/2023,No,item 3,"multi 1,multi 3,multi 5"
222084,FORK PLATFORM 2.2.2 - 084,2023-10-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
222085,FORK PLATFORM 2.2.2 - 085,2023-11-07,Yes,item 5,"multi 1,multi 2,multi 3"
222086,FORK PLATFORM 2.2.2 - 086,06/11/2023,No,item 6,"multi 1,multi 3,multi 5"
222087,FORK PLATFORM 2.2.2 - 087,2023-10-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
222088,FORK PLATFORM 2.2.2 - 088,2023-11-07,Yes,item 8,"multi 1,multi 2,multi 3"
222089,FORK PLATFORM 2.2.2 - 089,06/11/2023,No,item 9,"multi 1,multi 3,multi 5"
222090,FORK PLATFORM 2.2.2 - 090,2023-10-07,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
222091,FORK PLATFORM 2.2.2 - 091,2023-11-07,Yes,item 1,"multi 1,multi 2,multi 3"
222092,FORK PLATFORM 2.2.2 - 092,06/11/2023,No,item 2,"multi 1,multi 3,multi 5"
222093,FORK PLATFORM 2.2.2 - 093,2023-10-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
222094,FORK PLATFORM 2.2.2 - 094,2023-11-07,Yes,item 4,"multi 1,multi 2,multi 3"
222095,FORK PLATFORM 2.2.2 - 095,06/11/2023,No,item 5,"multi 1,multi 3,multi 5"
222096,FORK PLATFORM 2.2.2 - 096,2023-10-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
222097,FORK PLATFORM 2.2.2 - 097,2023-11-07,Yes,item 7,"multi 1,multi 2,multi 3"
222098,FORK PLATFORM 2.2.2 - 098,06/11/2023,No,item 8,"multi 1,multi 3,multi 5"
222099,FORK PLATFORM 2.2.2 - 099,2023-10-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
222100,FORK PLATFORM 2.2.2 - 100,2023-11-07,Yes,item 10,"multi 1,multi 2,multi 3"
222101,FORK PLATFORM 2.2.2 - 101,06/11/2023,No,item 1,"multi 1,multi 3,multi 5"
222102,FORK PLATFORM 2.2.2 - 102,2023-10-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
222103,FORK PLATFORM 2.2.2 - 103,2023-11-07,Yes,item 3,"multi 1,multi 2,multi 3"
222104,FORK PLATFORM 2.2.2 - 104,06/11/2023,No,item 4,"multi 1,multi 3,multi 5"
222105,FORK PLATFORM 2.2.2 - 105,2023-10-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
222106,FORK PLATFORM 2.2.2 - 106,2023-11-07,Yes,item 6,"multi 1,multi 2,multi 3"
222107,FORK PLATFORM 2.2.2 - 107,06/11/2023,No,item 7,"multi 1,multi 3,multi 5"
222108,FORK PLATFORM 2.2.2 - 108,2023-10-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
222109,FORK PLATFORM 2.2.2 - 109,2023-11-07,Yes,item 9,"multi 1,multi 2,multi 3"
222110,FORK PLATFORM 2.2.2 - 110,06/11/2023,No,item 10,"multi 1,multi 3,multi 5"
222111,FORK PLATFORM 2.2.2 - 111,2023-10-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
222112,FORK PLATFORM 2.2.2 - 112,2023-11-07,Yes,item 2,"multi 1,multi 2,multi 3"
222113,FORK PLATFORM 2.2.2 - 113,06/11/2023,No,item 3,"multi 1,multi 3,multi 5"
222114,FORK PLATFORM 2.2.2 - 114,2023-10-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
222115,FORK PLATFORM 2.2.2 - 115,2023-11-07,Yes,item 5,"multi 1,multi 2,multi 3"
222116,FORK PLATFORM 2.2.2 - 116,06/11/2023,No,item 6,"multi 1,multi 3,multi 5"
222117,FORK PLATFORM 2.2.2 - 117,2023-10-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
222118,FORK PLATFORM 2.2.2 - 118,2023-11-07,Yes,item 8,"multi 1,multi 2,multi 3"
222119,FORK PLATFORM 2.2.2 - 119,06/11/2023,No,item 9,"multi 1,multi 3,multi 5"
222120,FORK PLATFORM 2.2.2 - 120,2023-10-07,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
222121,FORK PLATFORM 2.2.2 - 121,2023-11-07,Yes,item 1,"multi 1,multi 2,multi 3"
222122,FORK PLATFORM 2.2.2 - 122,06/11/2023,No,item 2,"multi 1,multi 3,multi 5"
222123,FORK PLATFORM 2.2.2 - 123,2023-10-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
222124,FORK PLATFORM 2.2.2 - 124,2023-11-07,Yes,item 4,"multi 1,multi 2,multi 3"
222125,FORK PLATFORM 2.2.2 - 125,06/11/2023,No,item 5,"multi 1,multi 3,multi 5"
222126,FORK PLATFORM 2.2.2 - 126,2023-10-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
222127,FORK PLATFORM 2.2.2 - 127,2023-11-07,Yes,item 7,"multi 1,multi 2,multi 3"
222128,FORK PLATFORM 2.2.2 - 128,06/11/2023,No,item 8,"multi 1,multi 3,multi 5"
