CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
721001,CLARK FORKLIFT 001,30-10-2019,Yes,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
ID001,CLARK FORKLIFT 001,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
721003,CLARK FORKLIFT 003,10-30-2023,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
821002,IC FORKLIFT 002,2023-12-10,yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
821003,IC FORKLIFT 003,2023-12-10,no,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
821004,IC FORKLIFT 004,2023-12-10,true,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
821005,IC FORKLIFT 005,2023-12-10,false,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
ID002,CLARK FORKLIFT 002,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
ID003,CLARK FORKLIFT 003,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
821006,IC FORKLIFT 006,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
821007,IC FORKLIFT 007,2023-12-10,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
821008,IC FORKLIFT 008,2023-12-10,no,item 5,"multi 3,multi 9"
521009,IC FORKLIFT 009,2023-12-10,yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
421010,IC FORKLIFT 010,2023-12-10,false,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
821015,IC FORKLIFT 015,2023-12-10,true,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
477777, IC added record after migration 1,2024-03-18,true,item 7,"multi 1,multi 3,multi 5,multi 7"
477778, IC added record after migration 2,2024-03-18,true,item 2,"multi 2,multi 3,multi 5,multi 7"
477779, IC added record after migration 3,2024-03-18,false,item 4,"multi 4,multi 3,multi 5,multi 7"
477780, IC added record after migration 4,2024-03-18,true,item 6,"multi 1,multi 3,multi 5,multi 7,,multi 9"
