Component ID,serial number,project number,production number,total quantity,door type,shipping address
K062382-01Door_Leaf,K062382-01,2204160,K062382/003,1,KH-1010,WEGROW
K062382-01Door_Panel,K062382-01,2204160,K062382/004,1,KH-1010,WEGROW
K062382-01Door_Frame,K062382-01,2204160,K062382/007,1,KH-1010,WEGROW
K063902-01Door_Leaf,K063902-01,2207578,K063902/003,1,KH-1010,HOFLADEN
K063902-01Door_Panel,K063902-01,2207578,K063902/004,1,KH-1010,HOFLADEN
K063902-01Door_Frame,K063902-01,2207578,K063902/007,1,KH-1010,HOFLADEN
K064291-01Door_Leaf,K064291-01,2201966,K064291/003,1,VH-1414V,MOVIANTO
K064291-01Door_Panel,K064291-01,2201966,K064291/005,1,VH-1414V,MOVIANTO
K064291-01Door_Frame,K064291-01,2201966,K064291/007,1,VH-1414V,MOVIANTO
K064292-01Door_Leaf,K064292-01,2201966,K064292/003,2,KH-1010V,MOVIANTO
K064292-02Door_Leaf,K064292-02,2201966,K064292/003,2,KH-1010V,MOVIANTO
K064292-02Door_Panel,K064292-02,2201966,K064292/005,2,KH-1010V,MOVIANTO
K064292-01Door_Panel,K064292-01,2201966,K064292/005,2,KH-1010V,MOVIANTO
K064292-02Door_Frame,K064292-02,2201966,K064292/007,2,KH-1010V,MOVIANTO
K064292-01Door_Frame,K064292-01,2201966,K064292/007,2,KH-1010V,MOVIANTO
K064715-02Door_Leaf,K064715-02,2302351,K064715/003,2,KHG-1810V,BOONE
K064715-01Door_Leaf,K064715-01,2302351,K064715/003,2,KHG-1810V,BOONE
K064715-01Door_Panel,K064715-01,2302351,K064715/004,2,KHG-1810V,BOONE
K064715-02Door_Panel,K064715-02,2302351,K064715/004,2,KHG-1810V,BOONE
K064715-01Door_Frame,K064715-01,2302351,K064715/006,2,KHG-1810V,BOONE
K064715-02Door_Frame,K064715-02,2302351,K064715/006,2,KHG-1810V,BOONE
K064853-02Door_Leaf,K064853-02,2301929,K064853/002,4,KHG-1810 KIT,FRESH FOOD
K064853-01Door_Leaf,K064853-01,2301929,K064853/002,4,KHG-1810 KIT,FRESH FOOD
K064853-04Door_Leaf,K064853-04,2301929,K064853/002,4,KHG-1810 KIT,FRESH FOOD
K064853-03Door_Leaf,K064853-03,2301929,K064853/002,4,KHG-1810 KIT,FRESH FOOD
K064853-04Door_Panel,K064853-04,2301929,K064853/004,4,KHG-1810 KIT,FRESH FOOD
