FORKID,BRAND,ENTER DATE,TYPE,ACCESSOIRES
59011,"Caterpillar's forklifts",2022-11-10 05:00:00,Electric Forklifts,"Removable heading,Cup holder, Cover"
59200,Hertz,30/10/2022,Pallet jacks,'Cup holder,Cover'
59201,Hertz,30/10/2022,Pallet jacks,"Cup holder,Cover"
59202,Hertz,30/10/2022,Pallet jacks,"Cup holder, Cover"
59203,Hertz,30/10/2022,Pallet jacks,'Cup holder, Cover'
59002,Clark's,30/10/2022,Pallet jacks,'Cup holder, Cover'
59016,Crown 451698",2022-08-09 17:30:00,Order pickers, "Removable heading,Cup holder, Cover,Portable"
59018,Caterpillar,2022-08-09 17:30:00,Pallet Stackers,"Removable heading,Cup holder"
59019,Toyota,2022-08-09 17:30:00,High-Capacity forklifts,"Removable heading,Cup holder, Cover"
59031,KION Group,2022-08-09 17:30:00,  Reach trucks,"Removable heading,Cup holder, Cover"
59040,Hangcha Group,2022-08-09 17:30:00,Truck    ,"Removable heading,Cup holder, Cover"
59211,Hyster_yale,2023-01-01,Electric forklifts,"Removable heading,Cup holder, Cover"
59211,Hyster-Yale same ID,2022-01-01,Pallet Stackers,"Removable heading, Cover"
59200,Hyster-Yale,2022-01-01,IC forklifts,"Removable heading,Cup holder, Cover"
59201,Crown,2022-01-01,IC forklifts,"Removable heading,Cup holder, Cover"
59202,"Crown's forkfift",2022-01-01,IC forklifts,"Removable heading,Cup holder, Cover"
59203,'Anhui Heli's forklift',2022-01-01,Reach trucks,"Removable heading,Cup holder, Cover"
59204,Komatsu,Jan. 18,2023,IC forklifts,"Removable heading,Cup holder, Cover"
59205,Komatsu 2,"Jan. 18,2023",IC forklifts,"Removable heading,Cup holder, Cover"
