CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
321300,CLARK FORKLIFT 300,12/10/2022,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
321301,CLARK FORKLIFT 301,11/12/2022,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
321302,CLARK FORKLIFT 302,12/12/2022,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
321303,CLARK FORKLIFT 303,13/12/2022,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
321304,CLARK FORKLIFT 304,14/12/2022,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
321305,CLARK FORKLIFT 305,15/12/2022,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
321306,CLARK FORKLIFT 306,16/12/2022,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
321307,CLARK FORKLIFT 307,17/12/2022,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
321308,CLARK FORKLIFT 308,18/12/2022,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
321309,CLARK FORKLIFT 309,19/12/2022,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
321310,CLARK FORKLIFT 310,20/12/2022,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
321311,CLARK FORKLIFT 311,21/12/2022,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
321312,CLARK FORKLIFT 312,22/12/2022,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
321313,CLARK FORKLIFT 313,23/12/2022,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
321314,CLARK FORKLIFT 314,24/12/2022,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
321315,CLARK FORKLIFT 315,25/12/2022,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
321316,CLARK FORKLIFT 316,26/12/2022,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
321317,CLARK FORKLIFT 317,27/12/2022,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
321318,CLARK FORKLIFT 318,28/12/2022,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
321319,CLARK FORKLIFT 319,29/12/2022,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
321320,CLARK FORKLIFT 320,30/12/2022,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
321321,CLARK FORKLIFT 321,31/12/2022,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
