CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
321001,CLARK FORKLIFT 001,30-10-2019,Yes,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
ID001,CLARK FORKLIFT 001,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
321003,CLARK FORKLIFT 003,10-30-2023,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
921002,IC FORKLIFT 002,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
921003,IC FORKLIFT 003,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
921004,IC FORKLIFT 004,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
921005,IC FORKLIFT 005,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
ID002,CLARK FORKLIFT 002,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
ID003,CLARK FORKLIFT 003,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
921006,IC FORKLIFT 006,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
921007,IC FORKLIFT 007,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
921008,IC FORKLIFT 008,2023-12-10,No,item 5,"multi 3,multi 9"
921009,IC FORKLIFT 009,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
921010,IC FORKLIFT 010,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
921015,IC FORKLIFT 015,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
ID004,CLARK FORKLIFT 004,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"  
ID005,CLARK FORKLIFT 005,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"  
921016,IC FORKLIFT 016,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
921017,IC FORKLIFT 017,2023-12-10,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
921018,IC FORKLIFT 018,2023-12-10,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
