CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
3210200,IC FORKLIFT 222,2023-12-10,Yes,item 5,"multi 1,multi 7,multi 9"
3210201,IC FORKLIFT 201,10-12-2023,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210202,IC FORKLIFT 202,2023/12/10,no,item 5,"multi 3,multi 9"
3210203,IC FORKLIFT 203,10-12-2023,yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210204,IC FORKLIFT 204,2023.12.10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210205,IC FORKLIFT 205,23-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210206,IC FORKLIFT 206,23-10-12,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210207,IC FORKLIFT 207,10-12-23,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210208,IC FORKLIFT 208,10/12/23,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210209,IC FORKLIFT 209,Dec 10 2023,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210210,IC FORKLIFT 210,Dec 10, 2023,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210211,IC FORKLIFT 211,Dec 10 23,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210212,IC FORKLIFT 212,Dec 10 23,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210213,IC FORKLIFT 213,Dec. 10 2023,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
3210214,IC FORKLIFT 214,2023-12-10 17:30:00,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
