CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
523001,CLARK FORKLIFT 001,2019-01-10,Yes,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
523002,,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
523003,CLARK FORKLIFT 003,,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
523004,CLARK FORKLIFT 004,2019-04-10,,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
523005,CLARK FORKLIFT 005,2019-05-10,Yes,,"multi 1,multi 2,multi 3"
523006,CLARK FORKLIFT 006,2019-06-10,No,item 6
523007,CLARK FORKLIFT 007,2019-07-10,,,"multi 7,multi 8,multi 9"
523008,CLARK FORKLIFT 008,2019-08-10,No,item 8,"multi 10,multi 1,multi 2"
523009,CLARK FORKLIFT 009,
523010,CLARK FORKLIFT 010,,,,"multi 6,multi 7,multi 8"
