FORKID,BRAND,ENTER DATE,CHOICELIST_MULTI,CHOICELIST,FLAG
72000,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72001,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72002,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72003,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72004,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72005,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72006,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72007,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72008,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72009,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72010,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72011,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72012,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72013,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72014,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72015,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72016,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72017,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72018,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72019,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72020,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72021,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72022,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72023,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72024,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72025,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72026,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72027,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72028,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72029,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72030,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72031,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72032,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72033,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72034,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72035,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72036,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72037,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72038,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72039,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72040,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72041,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72042,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
