CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
1210010,"Caterpillar's forklifts",2019-10-12,Yes,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
ID001,CLARK FORKLIFT 001,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
1210030,- Crown 2,2023-12-30,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
5210020,Crown 451698",2023-12-10,yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
4210030,Clark's,2023-12-10,no,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
1210040,Strange characters &é@ó$µ]ûçà,2023-12-10,true,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
1210050,  tab before,2023-12-10,false,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
ID002,CLARK FORKLIFT 002,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
ID003,CLARK FORKLIFT 003,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
2210060,IC FORKLIFT 006,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
2210070,IC FORKLIFT 007,2023-12-10,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
5210080,IC FORKLIFT 008,2023-12-10,no,item 5,"multi 3,multi 9"
6210090,IC FORKLIFT 009,2023-12-10,yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
5210100,IC FORKLIFT 010,2023-12-10,false,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
5210150,IC FORKLIFT 015,2023-12-10,true,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
ID004,CLARK FORKLIFT 004,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"  
ID005,CLARK FORKLIFT 005,2019-02-10,No,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"  
1210160,IC FORKLIFT 016,2023-12-10,Yes,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
1210170,IC FORKLIFT 017,2023-12-10,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
1210180,IC FORKLIFT 018,2023-12-10,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
