component ID,serial number,project number,production number,total quantity,door type,shipping address
L062382-01Door_Leaf,L062382-01,2204160,L062382/003,200,IC-1010,HEULE
L062382-01Door_Panel,L062382-01,2204160,L062382/004,250,IC-1010,HEULE
L062382-01Door_Frame,L062382-01,2204160,L062382/007,1,KH-1010,WEGROW
L065455-02Door_Leaf,L065455-02,2206546,L065455/002,6,VD-1810,NEW COLD
L065455-05Door_Leaf,L065455-05,2206546,L065455/002,6,VD-1810,NEW COLD
L065455-04Door_Leaf,L065455-04,2206546,L065455/002,6,VD-1810,NEW COLD
L065455-06Door_Leaf,L065455-06,2206546,L065455/002,6,VD-1810,NEW COLD
L065455-01Door_Leaf,L065455-01,2206546,L065455/002,6,VD-1810,SWT-1695
L065455-03Door_Leaf,L065455-03,2206546,L065455/002,6,VD-1810,NEW COLD
L065455-01Door_Frame,L065455-01,2206546,L065455/005,6,VD-1810,NEW COLD
L065455-03Door_Frame,L065455-03,2206546,L065455/005,6,VD-1810,NEW COLD
L065455-02Door_Frame,L065455-02,2206546,L065455/005,6,VD-1810,TORRIEVJA
L065455-05Door_Frame,L065455-05,2206546,L065455/005,6,VD-1810,NEW COLD
L065455-06Door_Frame,L065455-06,2206546,L065455/005,6,VD-1810,NEW COLD
L065455-04Door_Frame,L065455-04,2206546,L065455/005,6,VD-1810,NEW COLD
L065820-07Door_Leaf,L065820-07,2206546,L065820/002,10,VD-1815,NEW COLD
L065820-02Door_Leaf,L065820-02,2206546,L065820/002,10,VD-1815,NEW COLD
L065820-09Door_Leaf,L065820-09,2206546,L065820/002,10,VD-1815,NEW COLD
L065820-01Door_Leaf,L065820-01,2206546,L065820/002,10,VD-1815,SWT-1695
L065820-10Door_Leaf,L065820-10,2206546,L065820/002,10,VD-1815,NEW COLD
L065820-04Door_Leaf,L065820-04,2206546,L065820/002,10,VD-1815,TORRIEVJA
L065820-06Door_Leaf,L065820-06,2206546,L065820/002,10,VD-1815,NEW COLD
L065820-03Door_Leaf,L065820-03,2206546,L065820/002,10,VD-1815,NEW COLD
L065820-08Door_Leaf,L065820-08,2206546,L065820/002,10,VD-1815,NEW COLD
L065820-05Door_Leaf,L065820-05,2206546,L065820/002,10,VD-1815,NEW COLD
L065820-05Door_Frame,L065820-05,2206546,L065820/005,10,VD-1815,NEW COLD
L065820-10Door_Frame,L065820-10,2206546,L065820/005,10,VD-1815,NEW COLD
L065820-02Door_Frame,L065820-02,2206546,L065820/005,10,VD-1815,HEULE - KORTRIJK
L065820-01Door_Frame,L065820-01,2206546,L065820/005,10,VD-1815,HEULE - KORTRIJK
L065820-09Door_Frame,L065820-09,2206546,L065820/005,10,VD-1815,TORRIEVJA
L065820-08Door_Frame,L065820-08,2206546,L065820/005,10,VD-1815,NEW COLD
L065820-03Door_Frame,L065820-03,2206546,L065820/005,10,VD-1815,NEW COLD
L065820-06Door_Frame,L065820-06,2206546,L065820/005,10,VD-1815,NEW COLD
L065820-04Door_Frame,L065820-04,2206546,L065820/005,10,VD-1815,NEW COLD
L065820-07Door_Frame,L065820-07,2206546,L065820/005,10,VD-1815,NEW COLD
L065454-02Door_Leaf,L065454-02,2206546,L065454/002,5,VD-1810,NEW COLD
L065454-01Door_Leaf,L065454-01,2206546,L065454/002,5,VD-1810,NEW COLD
L065454-05Door_Leaf,L065454-05,2206546,L065454/002,5,VD-1810,SWT-1695
L065454-04Door_Leaf,L065454-04,2206546,L065454/002,5,VD-1810,NEW COLD
L065454-03Door_Leaf,L065454-03,2206546,L065454/002,5,VD-1810,NEW COLD
L065454-02Door_Frame,L065454-02,2206546,L065454/005,5,VD-1810,NEW COLD
L065454-04Door_Frame,L065454-04,2206546,L065454/005,5,VD-1810,NEW COLD
L065454-03Door_Frame,L065454-03,2206546,L065454/005,5,VD-1810,NEW COLD
L065454-05Door_Frame,L065454-05,2206546,L065454/005,5,VD-1810,NEW COLD
L065454-01Door_Frame,L065454-01,2206546,L065454/005,5,VD-1810,TORRIEVJA
L066241-01Door_Leaf,L066241-01,2206546,L066241/002,1,VD-1810,NEW COLD
L066241-01Door_Frame,L066241-01,2206546,L066241/005,1,VD-1810,NEW COLD
L066242-01Door_Leaf,L066242-01,2206546,L066242/002,1,VD-1815,NEW COLD
L066242-01Door_Frame,L066242-01,2206546,L066242/005,1,VD-1815,NEW COLD
L066320-01Door_Leaf,L066319-01,2304961,L066319/003,1,KS-1810,SWT-1695
L066320-01Door_Frame,L066319-01,2304961,L066319/003,1,KS-1810,SALCO
L066243-01Door_Leaf,L066243-01,2206546,L066242/002,1,VD-1815,NEW COLD
L066243-01Door_Frame,L066243-01,2206546,L066242/005,1,VD-1815,NEW COLD
L066244-01Door_Leaf,L066244-01,2206546,L066242/002,1,VD-1815,NEW COLD
L066244-01Door_Frame,L066244-01,2206546,L066242/005,1,VD-1815,HEULE - KORTRIJK
IC066244-01Door_Leaf,IC066244-02,2206546,L066242/002,1,VD-1815,UPDATE 02
IC066244-01Door_Frame,IC066244-02,2206546,L066242/002,1,VD-1815,UPDATE 02

