component ID,serial number,project number,production number,total quantity,door type,shipping address
L25062382-01Door_Leaf,L25062382-01,2204160,L25062382/003,200,IC-1010,HEULE
L25062382-01Door_Panel,L25062382-01,2204160,L25062382/004,250,IC-1010,HEULE
L25062382-01Door_Frame,L25062382-01,2204160,L25062382/007,1,KH-1010,WEGROW
L25065455-02Door_Leaf,L25065455-02,2206546,L25065455/002,6,VD-1810,NEW COLD
L25065455-05Door_Leaf,L25065455-05,2206546,L25065455/002,6,VD-1810,NEW COLD
L25065455-04Door_Leaf,L25065455-04,2206546,L25065455/002,6,VD-1810,NEW COLD
L25065455-06Door_Leaf,L25065455-06,2206546,L25065455/002,6,VD-1810,NEW COLD
L25065455-01Door_Leaf,L25065455-01,2206546,L25065455/002,6,VD-1810,SWT-1695
L25065455-03Door_Leaf,L25065455-03,2206546,L25065455/002,6,VD-1810,NEW COLD
L25065455-01Door_Frame,L25065455-01,2206546,L25065455/005,6,VD-1810,NEW COLD
L25065455-03Door_Frame,L25065455-03,2206546,L25065455/005,6,VD-1810,NEW COLD
L25065455-02Door_Frame,L25065455-02,2206546,L25065455/005,6,VD-1810,NEW COLD
L25065455-05Door_Frame,L25065455-05,2206546,L25065455/005,6,VD-1810,NEW COLD
L25065455-06Door_Frame,L25065455-06,2206546,L25065455/005,6,VD-1810,NEW COLD
L25065455-04Door_Frame,L25065455-04,2206546,L25065455/005,6,VD-1810,NEW COLD
L25065820-07Door_Leaf,L25065820-07,2206546,L25065820/002,10,VD-1815,NEW COLD
L25065820-02Door_Leaf,L25065820-02,2206546,L25065820/002,10,VD-1815,NEW COLD
L25065820-09Door_Leaf,L25065820-09,2206546,L25065820/002,10,VD-1815,NEW COLD
L25065820-01Door_Leaf,L25065820-01,2206546,L25065820/002,10,VD-1815,SWT-1695
L25065820-10Door_Leaf,L25065820-10,2206546,L25065820/002,10,VD-1815,NEW COLD
L25065820-04Door_Leaf,L25065820-04,2206546,L25065820/002,10,VD-1815,NEW COLD
L25065820-06Door_Leaf,L25065820-06,2206546,L25065820/002,10,VD-1815,NEW COLD
L25065820-03Door_Leaf,L25065820-03,2206546,L25065820/002,10,VD-1815,NEW COLD
L25065820-08Door_Leaf,L25065820-08,2206546,L25065820/002,10,VD-1815,NEW COLD
L25065820-05Door_Leaf,L25065820-05,2206546,L25065820/002,10,VD-1815,NEW COLD
L25065820-05Door_Frame,L25065820-05,2206546,L25065820/005,10,VD-1815,NEW COLD
L25065820-10Door_Frame,L25065820-10,2206546,L25065820/005,10,VD-1815,NEW COLD
L25065820-02Door_Frame,L25065820-02,2206546,L25065820/005,10,VD-1815,HEULE - KORTRIJK
L25065820-01Door_Frame,L25065820-01,2206546,L25065820/005,10,VD-1815,HEULE - KORTRIJK
L25065820-09Door_Frame,L25065820-09,2206546,L25065820/005,10,VD-1815,NEW COLD
L25065820-08Door_Frame,L25065820-08,2206546,L25065820/005,10,VD-1815,NEW COLD
L25065820-03Door_Frame,L25065820-03,2206546,L25065820/005,10,VD-1815,NEW COLD
L25065820-06Door_Frame,L25065820-06,2206546,L25065820/005,10,VD-1815,NEW COLD
L25065820-04Door_Frame,L25065820-04,2206546,L25065820/005,10,VD-1815,NEW COLD
L25065820-07Door_Frame,L25065820-07,2206546,L25065820/005,10,VD-1815,NEW COLD
L25065454-02Door_Leaf,L25065454-02,2206546,L25065454/002,5,VD-1810,NEW COLD
L25065454-01Door_Leaf,L25065454-01,2206546,L25065454/002,5,VD-1810,NEW COLD
L25065454-05Door_Leaf,L25065454-05,2206546,L25065454/002,5,VD-1810,SWT-1695
L25065454-04Door_Leaf,L25065454-04,2206546,L25065454/002,5,VD-1810,NEW COLD
L25065454-03Door_Leaf,L25065454-03,2206546,L25065454/002,5,VD-1810,NEW COLD
L25065454-02Door_Frame,L25065454-02,2206546,L25065454/005,5,VD-1810,NEW COLD
L25065454-04Door_Frame,L25065454-04,2206546,L25065454/005,5,VD-1810,NEW COLD
L25065454-03Door_Frame,L25065454-03,2206546,L25065454/005,5,VD-1810,NEW COLD
L25065454-05Door_Frame,L25065454-05,2206546,L25065454/005,5,VD-1810,NEW COLD
L25065454-01Door_Frame,L25065454-01,2206546,L25065454/005,5,VD-1810,NEW COLD
L25066241-01Door_Leaf,L25066241-01,2206546,L25066241/002,1,VD-1810,NEW COLD
L25066241-01Door_Frame,L25066241-01,2206546,L25066241/005,1,VD-1810,NEW COLD
L25066242-01Door_Leaf,L25066242-01,2206546,L25066242/002,1,VD-1815,NEW COLD
L25066242-01Door_Frame,L25066242-01,2206546,L25066242/005,1,VD-1815,NEW COLD
L25066320-01Door_Leaf,L25066319-01,2304961,L25066319/003,1,KS-1810,SWT-1695
