component ID,serial number,project number,production number,total quantity,door type,shipping address
K25062382-01Door_Leaf,K25062382-01,2204160,K25062382/003,1,KH-1010,WEGROW
K25062382-01Door_Panel,K25062382-01,2204160,K25062382/004,1,KH-1010,WEGROW
K25062382-01Door_Frame,K25062382-01,2204160,K25062382/007,1,KH-1010,WEGROW
K25065455-02Door_Leaf,K25065455-02,2206546,K25065455/002,6,VD-1810,NEW COLD
K25065455-05Door_Leaf,K25065455-05,2206546,K25065455/002,6,VD-1810,NEW COLD
K25065455-04Door_Leaf,K25065455-04,2206546,K25065455/002,6,VD-1810,NEW COLD
K25065455-06Door_Leaf,K25065455-06,2206546,K25065455/002,6,VD-1810,NEW COLD
K25065455-01Door_Leaf,K25065455-01,2206546,K25065455/002,6,VD-1810,NEW COLD
K25065455-03Door_Leaf,K25065455-03,2206546,K25065455/002,6,VD-1810,NEW COLD
K25065455-01Door_Frame,K25065455-01,2206546,K25065455/005,6,VD-1810,NEW COLD
K25065455-03Door_Frame,K25065455-03,2206546,K25065455/005,6,VD-1810,NEW COLD
K25065455-02Door_Frame,K25065455-02,2206546,K25065455/005,6,VD-1810,NEW COLD
K25065455-05Door_Frame,K25065455-05,2206546,K25065455/005,6,VD-1810,NEW COLD
K25065455-06Door_Frame,K25065455-06,2206546,K25065455/005,6,VD-1810,NEW COLD
K25065455-04Door_Frame,K25065455-04,2206546,K25065455/005,6,VD-1810,NEW COLD
K25065820-07Door_Leaf,K25065820-07,2206546,K25065820/002,10,VD-1815,NEW COLD
K25065820-02Door_Leaf,K25065820-02,2206546,K25065820/002,10,VD-1815,NEW COLD
K25065820-09Door_Leaf,K25065820-09,2206546,K25065820/002,10,VD-1815,NEW COLD
K25065820-01Door_Leaf,K25065820-01,2206546,K25065820/002,10,VD-1815,NEW COLD
K25065820-10Door_Leaf,K25065820-10,2206546,K25065820/002,10,VD-1815,NEW COLD
K25065820-04Door_Leaf,K25065820-04,2206546,K25065820/002,10,VD-1815,NEW COLD
K25065820-06Door_Leaf,K25065820-06,2206546,K25065820/002,10,VD-1815,NEW COLD
K25065820-03Door_Leaf,K25065820-03,2206546,K25065820/002,10,VD-1815,NEW COLD
K25065820-08Door_Leaf,K25065820-08,2206546,K25065820/002,10,VD-1815,NEW COLD
K25065820-05Door_Leaf,K25065820-05,2206546,K25065820/002,10,VD-1815,NEW COLD
K25065820-05Door_Frame,K25065820-05,2206546,K25065820/005,10,VD-1815,NEW COLD
K25065820-10Door_Frame,K25065820-10,2206546,K25065820/005,10,VD-1815,NEW COLD
K25065820-02Door_Frame,K25065820-02,2206546,K25065820/005,10,VD-1815,NEW COLD
K25065820-01Door_Frame,K25065820-01,2206546,K25065820/005,10,VD-1815,NEW COLD
K25065820-09Door_Frame,K25065820-09,2206546,K25065820/005,10,VD-1815,NEW COLD
K25065820-08Door_Frame,K25065820-08,2206546,K25065820/005,10,VD-1815,NEW COLD
K25065820-03Door_Frame,K25065820-03,2206546,K25065820/005,10,VD-1815,NEW COLD
K25065820-06Door_Frame,K25065820-06,2206546,K25065820/005,10,VD-1815,NEW COLD
K25065820-04Door_Frame,K25065820-04,2206546,K25065820/005,10,VD-1815,NEW COLD
K25065820-07Door_Frame,K25065820-07,2206546,K25065820/005,10,VD-1815,NEW COLD
K25065454-02Door_Leaf,K25065454-02,2206546,K25065454/002,5,VD-1810,NEW COLD
K25065454-01Door_Leaf,K25065454-01,2206546,K25065454/002,5,VD-1810,NEW COLD
K25065454-05Door_Leaf,K25065454-05,2206546,K25065454/002,5,VD-1810,NEW COLD
K25065454-04Door_Leaf,K25065454-04,2206546,K25065454/002,5,VD-1810,NEW COLD
K25065454-03Door_Leaf,K25065454-03,2206546,K25065454/002,5,VD-1810,NEW COLD
K25065454-02Door_Frame,K25065454-02,2206546,K25065454/005,5,VD-1810,NEW COLD
K25065454-04Door_Frame,K25065454-04,2206546,K25065454/005,5,VD-1810,NEW COLD
K25065454-03Door_Frame,K25065454-03,2206546,K25065454/005,5,VD-1810,NEW COLD
K25065454-05Door_Frame,K25065454-05,2206546,K25065454/005,5,VD-1810,NEW COLD
K25065454-01Door_Frame,K25065454-01,2206546,K25065454/005,5,VD-1810,NEW COLD
K25066241-01Door_Leaf,K25066241-01,2206546,K25066241/002,1,VD-1810,NEW COLD
K25066241-01Door_Frame,K25066241-01,2206546,K25066241/005,1,VD-1810,NEW COLD
K25066242-01Door_Leaf,K25066242-01,2206546,K25066242/002,1,VD-1815,NEW COLD
K25066242-01Door_Frame,K25066242-01,2206546,K25066242/005,1,VD-1815,NEW COLD
K25066319-01Door_Leaf,K25066319-01,2304961,K25066319/003,1,KS-1810,SALCO
K25066319-01Door_Frame,K25066319-01,2304961,K25066319/007,1,KS-1810,SALCO
K25066472-01Door_Frame,K25066472-01,2304961,K25066472/005,1,AL-2115V,SALCO
K25066432-01Door_Leaf,K25066432-01,2304961,K25066432/003,1,AL-1414-VK,SALCO
K25066432-01Door_Panel,K25066432-01,2304961,K25066432/004,1,AL-1414-VK,SALCO
K25066432-01Door_Frame,K25066432-01,2304961,K25066432/005,1,AL-1414-VK,SALCO
K25066738-02Door_Leaf,K25066738-02,2307499,K25066738/002,3,VD-1810,
K25066738-03Door_Leaf,K25066738-03,2307499,K25066738/002,3,VD-1810,
K25066738-01Door_Leaf,K25066738-01,2307499,K25066738/002,3,VD-1810,
K25066738-03Door_Frame,K25066738-03,2307499,K25066738/005,3,VD-1810,
K25066738-02Door_Frame,K25066738-02,2307499,K25066738/005,3,VD-1810,
K25066738-01Door_Frame,K25066738-01,2307499,K25066738/005,3,VD-1810,
IN10918-01Door_Leaf,IN10918-01,2400318,IN10918/002,1,KD-1810,SALCO
K25066475-01Door_Leaf,K25066475-01,2306621,K25066475/003,1,AL-1414-H,AGRISTO
K25066475-01Door_Panel,K25066475-01,2306621,K25066475/004,1,AL-1414-H,AGRISTO
K25066475-01Door_Frame,K25066475-01,2306621,K25066475/005,1,AL-1414-H,AGRISTO
K25067586-01Door_Leaf,K25067586-01,2401681,K25067586/002,1,BD-1804,SALCO TULP
K25067586-01Door_Frame,K25067586-01,2401681,K25067586/005,1,BD-1804,SALCO TULP
K25067590-03Door_Panel,K25067590-03,2300926,K25067590/005,4,VH-1414-VK,ATLAS
K25067590-02Door_Panel,K25067590-02,2300926,K25067590/005,4,VH-1414-VK,ATLAS
