component ID,serial number,project number,production number,total quantity,door type,shipping address
K062382-01Door_Leaf,K062382-01,2204160,K062382/003,1,KH-1010,WEGROW
K062382-01Door_Panel,K062382-01,2204160,K062382/004,1,KH-1010,WEGROW
K062382-01Door_Frame,K062382-01,2204160,K062382/007,1,KH-1010,WEGROW
K065455-02Door_Leaf,K065455-02,2206546,K065455/002,6,VD-1810,NEW COLD
K065455-05Door_Leaf,K065455-05,2206546,K065455/002,6,VD-1810,NEW COLD
K065455-04Door_Leaf,K065455-04,2206546,K065455/002,6,VD-1810,NEW COLD
K065455-06Door_Leaf,K065455-06,2206546,K065455/002,6,VD-1810,NEW COLD
K065455-01Door_Leaf,K065455-01,2206546,K065455/002,6,VD-1810,NEW COLD
K065455-03Door_Leaf,K065455-03,2206546,K065455/002,6,VD-1810,NEW COLD
K065455-01Door_Frame,K065455-01,2206546,K065455/005,6,VD-1810,NEW COLD
K065455-03Door_Frame,K065455-03,2206546,K065455/005,6,VD-1810,NEW COLD
K065455-02Door_Frame,K065455-02,2206546,K065455/005,6,VD-1810,NEW COLD
K065455-05Door_Frame,K065455-05,2206546,K065455/005,6,VD-1810,NEW COLD
K065455-06Door_Frame,K065455-06,2206546,K065455/005,6,VD-1810,NEW COLD
K065455-04Door_Frame,K065455-04,2206546,K065455/005,6,VD-1810,NEW COLD
K065820-07Door_Leaf,K065820-07,2206546,K065820/002,10,VD-1815,NEW COLD
K065820-02Door_Leaf,K065820-02,2206546,K065820/002,10,VD-1815,NEW COLD
K065820-09Door_Leaf,K065820-09,2206546,K065820/002,10,VD-1815,NEW COLD
K065820-01Door_Leaf,K065820-01,2206546,K065820/002,10,VD-1815,NEW COLD
K065820-10Door_Leaf,K065820-10,2206546,K065820/002,10,VD-1815,NEW COLD
K065820-04Door_Leaf,K065820-04,2206546,K065820/002,10,VD-1815,NEW COLD
K065820-06Door_Leaf,K065820-06,2206546,K065820/002,10,VD-1815,NEW COLD
K065820-03Door_Leaf,K065820-03,2206546,K065820/002,10,VD-1815,NEW COLD
K065820-08Door_Leaf,K065820-08,2206546,K065820/002,10,VD-1815,NEW COLD
K065820-05Door_Leaf,K065820-05,2206546,K065820/002,10,VD-1815,NEW COLD
K065820-05Door_Frame,K065820-05,2206546,K065820/005,10,VD-1815,NEW COLD
K065820-10Door_Frame,K065820-10,2206546,K065820/005,10,VD-1815,NEW COLD
