component ID,serial number,project number,production number,total quantity,door type,shipping address
N062382-01Door_Leaf,N062382-01,2204160,N062382/003,200,IC-1010,HEULE
N062382-01Door_Panel,N062382-01,2204160,N062382/004,250,IC-1010,HEULE
N062382-01Door_Frame,N062382-01,2204160,N062382/007,1,KH-1010,WEGROW
N065455-02Door_Leaf,N065455-02,2206546,N065455/002,6,VD-1810,NEW COLD
N065455-05Door_Leaf,N065455-05,2206546,N065455/002,6,VD-1810,NEW COLD
N065455-04Door_Leaf,N065455-04,2206546,N065455/002,6,VD-1810,NEW COLD
N065455-06Door_Leaf,N065455-06,2206546,N065455/002,6,VD-1810,NEW COLD
N065455-01Door_Leaf,N065455-01,2206546,N065455/002,6,VD-1810,SWT-1695
N065455-03Door_Leaf,N065455-03,2206546,N065455/002,6,VD-1810,NEW COLD
N065455-01Door_Frame,N065455-01,2206546,N065455/005,6,VD-1810,NEW COLD
N065455-03Door_Frame,N065455-03,2206546,N065455/005,6,VD-1810,NEW COLD
N065455-02Door_Frame,N065455-02,2206546,N065455/005,6,VD-1810,NEW COLD
N065455-05Door_Frame,N065455-05,2206546,N065455/005,6,VD-1810,NEW COLD
N065455-06Door_Frame,N065455-06,2206546,N065455/005,6,VD-1810,NEW COLD
N065455-04Door_Frame,N065455-04,2206546,N065455/005,6,VD-1810,NEW COLD
N065820-07Door_Leaf,N065820-07,2206546,N065820/002,10,VD-1815,NEW COLD
N065820-02Door_Leaf,N065820-02,2206546,N065820/002,10,VD-1815,NEW COLD
N065820-09Door_Leaf,N065820-09,2206546,N065820/002,10,VD-1815,NEW COLD
N065820-01Door_Leaf,N065820-01,2206546,N065820/002,10,VD-1815,SWT-1695
N065820-10Door_Leaf,N065820-10,2206546,N065820/002,10,VD-1815,NEW COLD
N065820-04Door_Leaf,N065820-04,2206546,N065820/002,10,VD-1815,NEW COLD
N065820-06Door_Leaf,N065820-06,2206546,N065820/002,10,VD-1815,NEW COLD
N065820-03Door_Leaf,N065820-03,2206546,N065820/002,10,VD-1815,NEW COLD
N065820-08Door_Leaf,N065820-08,2206546,N065820/002,10,VD-1815,NEW COLD
N065820-05Door_Leaf,N065820-05,2206546,N065820/002,10,VD-1815,NEW COLD
N065820-05Door_Frame,N065820-05,2206546,N065820/005,10,VD-1815,NEW COLD
N065820-10Door_Frame,N065820-10,2206546,N065820/005,10,VD-1815,NEW COLD
N065820-02Door_Frame,N065820-02,2206546,N065820/005,10,VD-1815,HEULE - KORTRIJK
N065820-01Door_Frame,N065820-01,2206546,N065820/005,10,VD-1815,HEULE - KORTRIJK
N065820-09Door_Frame,N065820-09,2206546,N065820/005,10,VD-1815,NEW COLD
N065820-08Door_Frame,N065820-08,2206546,N065820/005,10,VD-1815,NEW COLD
N065820-03Door_Frame,N065820-03,2206546,N065820/005,10,VD-1815,NEW COLD
N065820-06Door_Frame,N065820-06,2206546,N065820/005,10,VD-1815,NEW COLD
N065820-04Door_Frame,N065820-04,2206546,N065820/005,10,VD-1815,NEW COLD
N065820-07Door_Frame,N065820-07,2206546,N065820/005,10,VD-1815,NEW COLD
N065454-02Door_Leaf,N065454-02,2206546,N065454/002,5,VD-1810,NEW COLD
N065454-01Door_Leaf,N065454-01,2206546,N065454/002,5,VD-1810,NEW COLD
N065454-05Door_Leaf,N065454-05,2206546,N065454/002,5,VD-1810,SWT-1695
N065454-04Door_Leaf,N065454-04,2206546,N065454/002,5,VD-1810,NEW COLD
N065454-03Door_Leaf,N065454-03,2206546,N065454/002,5,VD-1810,NEW COLD
N065454-02Door_Frame,N065454-02,2206546,N065454/005,5,VD-1810,NEW COLD
N065454-04Door_Frame,N065454-04,2206546,N065454/005,5,VD-1810,NEW COLD
N065454-03Door_Frame,N065454-03,2206546,N065454/005,5,VD-1810,NEW COLD
N065454-05Door_Frame,N065454-05,2206546,N065454/005,5,VD-1810,NEW COLD
N065454-01Door_Frame,N065454-01,2206546,N065454/005,5,VD-1810,NEW COLD
N066241-01Door_Leaf,N066241-01,2206546,N066241/002,1,VD-1810,NEW COLD
N066241-01Door_Frame,N066241-01,2206546,N066241/005,1,VD-1810,NEW COLD
N066242-01Door_Leaf,N066242-01,2206546,N066242/002,1,VD-1815,NEW COLD
N066242-01Door_Frame,N066242-01,2206546,N066242/005,1,VD-1815,NEW COLD
N066320-01Door_Leaf,N066319-01,2304961,N066319/003,1,KS-1810,SWT-1695
N066320-01Door_Frame,N066319-01,2304961,N066319/003,1,KS-1810,SALCO
N066243-01Door_Leaf,N066243-01,2206546,N066242/002,1,VD-1815,NEW COLD
N066243-01Door_Frame,N066243-01,2206546,N066242/005,1,VD-1815,NEW COLD
N066244-01Door_Leaf,N066244-01,2206546,N066242/002,1,VD-1815,NEW COLD
N066244-01Door_Frame,N066244-01,2206546,N066242/005,1,VD-1815,HEULE - KORTRIJK
IC066244-01Door_Leaf,IC066244-02,2206546,N066242/002,1,VD-1815,UPDATE 02
IC066244-01Door_Frame,IC066244-02,2206546,N066242/002,1,VD-1815,UPDATE 02
EXTRA_066244-01Door_Frame,EXTRA066244-02,2206546,N066242/002,1,VD-1815,EXTRA
EXTRA_066245-01Door_Frame,EXTRA066245-02,2206546,N066242/002,1,VD-1815,EXTRA
