CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
123300,CLARK FORKLIFT 300,2022-10-12,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123301,CLARK FORKLIFT 301,2022-12-11,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123302,CLARK FORKLIFT 302,2022-12-12,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123303,CLARK FORKLIFT 303,2022-12-13,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123304,CLARK FORKLIFT 304,2022-12-14,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123305,CLARK FORKLIFT 305,2022-12-15,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123306,CLARK FORKLIFT 306,2022-12-16,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123307,CLARK FORKLIFT 307,2022-12-17,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123308,CLARK FORKLIFT 308,2022-12-18,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123309,CLARK FORKLIFT 309,2022-12-19,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123310,CLARK FORKLIFT 310,2022-12-20,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123311,CLARK FORKLIFT 311,2022-12-21,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123312,CLARK FORKLIFT 312,2022-12-22,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123313,CLARK FORKLIFT 313,2022-12-23,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123314,CLARK FORKLIFT 314,2022-12-24,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123315,CLARK FORKLIFT 315,2022-12-25,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123316,CLARK FORKLIFT 316,2022-12-26,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123317,CLARK FORKLIFT 317,2022-12-27,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123318,CLARK FORKLIFT 318,2022-12-28,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123319,CLARK FORKLIFT 319,2022-12-29,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123320,CLARK FORKLIFT 320,2022-12-30,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123321,CLARK FORKLIFT 321,2022-12-31,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123322,CLARK FORKLIFT 322,2023-01-01,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123323,CLARK FORKLIFT 323,2023-01-02,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123324,CLARK FORKLIFT 324,2023-01-03,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123325,CLARK FORKLIFT 325,2023-01-04,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123326,CLARK FORKLIFT 326,2023-01-05,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123327,CLARK FORKLIFT 327,2023-01-06,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123328,CLARK FORKLIFT 328,2023-01-07,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123329,CLARK FORKLIFT 329,2023-01-08,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123330,CLARK FORKLIFT 330,2023-01-09,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123331,CLARK FORKLIFT 331,2023-01-10,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123332,CLARK FORKLIFT 332,2023-01-11,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123333,CLARK FORKLIFT 333,2023-01-12,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123334,CLARK FORKLIFT 334,2023-01-13,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123335,CLARK FORKLIFT 335,2023-01-14,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123336,CLARK FORKLIFT 336,2023-01-15,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123337,CLARK FORKLIFT 337,2023-01-16,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123338,CLARK FORKLIFT 338,2023-01-17,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123339,CLARK FORKLIFT 339,2023-01-18,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123340,CLARK FORKLIFT 340,2023-01-19,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123341,CLARK FORKLIFT 341,2023-01-20,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123342,CLARK FORKLIFT 342,2023-01-21,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123343,CLARK FORKLIFT 343,2023-01-22,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123344,CLARK FORKLIFT 344,2023-01-23,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123345,CLARK FORKLIFT 345,2023-01-24,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123346,CLARK FORKLIFT 346,2023-01-25,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123347,CLARK FORKLIFT 347,2023-01-26,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123348,CLARK FORKLIFT 348,2023-01-27,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123349,CLARK FORKLIFT 349,2023-01-28,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123350,CLARK FORKLIFT 350,2023-01-29,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123351,CLARK FORKLIFT 351,2023-01-30,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123352,CLARK FORKLIFT 352,2023-01-31,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123353,CLARK FORKLIFT 353,2023-02-01,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123354,CLARK FORKLIFT 354,2023-02-02,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123355,CLARK FORKLIFT 355,2023-02-03,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123356,CLARK FORKLIFT 356,2023-02-04,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123357,CLARK FORKLIFT 357,2023-02-05,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123358,CLARK FORKLIFT 358,2023-02-06,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123359,CLARK FORKLIFT 359,2023-02-07,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123360,CLARK FORKLIFT 360,2023-02-08,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123361,CLARK FORKLIFT 361,2023-02-09,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123362,CLARK FORKLIFT 362,2023-02-10,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123363,CLARK FORKLIFT 363,2023-02-11,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123364,CLARK FORKLIFT 364,2023-02-12,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123365,CLARK FORKLIFT 365,2023-02-13,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123366,CLARK FORKLIFT 366,2023-02-14,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123367,CLARK FORKLIFT 367,2023-02-15,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123368,CLARK FORKLIFT 368,2023-02-16,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123369,CLARK FORKLIFT 369,2023-02-17,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123370,CLARK FORKLIFT 370,2023-02-18,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123371,CLARK FORKLIFT 371,2023-02-19,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123372,CLARK FORKLIFT 372,2023-02-20,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123373,CLARK FORKLIFT 373,2023-02-21,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123374,CLARK FORKLIFT 374,2023-02-22,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123375,CLARK FORKLIFT 375,2023-02-23,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123376,CLARK FORKLIFT 376,2023-02-24,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123377,CLARK FORKLIFT 377,2023-02-25,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123378,CLARK FORKLIFT 378,2023-02-26,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123379,CLARK FORKLIFT 379,2023-02-27,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123380,CLARK FORKLIFT 380,2023-02-28,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123381,CLARK FORKLIFT 381,2023-03-01,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123382,CLARK FORKLIFT 382,2023-03-02,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123383,CLARK FORKLIFT 383,2023-03-03,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123384,CLARK FORKLIFT 384,2023-03-04,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123385,CLARK FORKLIFT 385,2023-03-05,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123386,CLARK FORKLIFT 386,2023-03-06,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123387,CLARK FORKLIFT 387,2023-03-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123388,CLARK FORKLIFT 388,2023-03-08,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123389,CLARK FORKLIFT 389,2023-03-09,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123390,CLARK FORKLIFT 390,2023-03-10,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123391,CLARK FORKLIFT 391,2023-03-11,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123392,CLARK FORKLIFT 392,2023-03-12,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123393,CLARK FORKLIFT 393,2023-03-13,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123394,CLARK FORKLIFT 394,2023-03-14,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123395,CLARK FORKLIFT 395,2023-03-15,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123396,CLARK FORKLIFT 396,2023-03-16,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123397,CLARK FORKLIFT 397,2023-03-17,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123398,CLARK FORKLIFT 398,2023-03-18,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123399,CLARK FORKLIFT 399,2023-03-19,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123400,CLARK FORKLIFT 400,2023-03-20,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123401,CLARK FORKLIFT 401,2023-03-21,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123402,CLARK FORKLIFT 402,2023-03-22,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123403,CLARK FORKLIFT 403,2023-03-23,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123404,CLARK FORKLIFT 404,2023-03-24,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123405,CLARK FORKLIFT 405,2023-03-25,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123406,CLARK FORKLIFT 406,2023-03-26,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123407,CLARK FORKLIFT 407,2023-03-27,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123408,CLARK FORKLIFT 408,2023-03-28,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123409,CLARK FORKLIFT 409,2023-03-29,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123410,CLARK FORKLIFT 410,2023-03-30,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123411,CLARK FORKLIFT 411,2023-03-31,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123412,CLARK FORKLIFT 412,2023-04-01,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123413,CLARK FORKLIFT 413,2023-04-02,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123414,CLARK FORKLIFT 414,2023-04-03,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123415,CLARK FORKLIFT 415,2023-04-04,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123416,CLARK FORKLIFT 416,2023-04-05,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123417,CLARK FORKLIFT 417,2023-04-06,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123418,CLARK FORKLIFT 418,2023-04-07,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123419,CLARK FORKLIFT 419,2023-04-08,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123420,CLARK FORKLIFT 420,2023-04-09,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123421,CLARK FORKLIFT 421,2023-04-10,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123422,CLARK FORKLIFT 422,2023-04-11,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123423,CLARK FORKLIFT 423,2023-04-12,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123424,CLARK FORKLIFT 424,2023-04-13,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123425,CLARK FORKLIFT 425,2023-04-14,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123426,CLARK FORKLIFT 426,2023-04-15,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123427,CLARK FORKLIFT 427,2023-04-16,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123428,CLARK FORKLIFT 428,2023-04-17,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123429,CLARK FORKLIFT 429,2023-04-18,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123430,CLARK FORKLIFT 430,2023-04-19,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123431,CLARK FORKLIFT 431,2023-04-20,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123432,CLARK FORKLIFT 432,2023-04-21,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
123433,CLARK FORKLIFT 433,2023-04-22,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
123434,CLARK FORKLIFT 434,2023-04-23,No,item 5,"multi 1,multi 3,multi 5,multi 7,multi 9"
123435,CLARK FORKLIFT 435,2023-04-24,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
123436,CLARK FORKLIFT 436,2023-04-25,No,item 7,"multi 1,multi 3,multi 5,multi 7,multi 9"
123437,CLARK FORKLIFT 437,2023-04-26,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
123438,CLARK FORKLIFT 438,2023-04-27,No,item 9,"multi 1,multi 3,multi 5,multi 7,multi 9"
123439,CLARK FORKLIFT 439,2023-04-28,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
123440,CLARK FORKLIFT 440,2023-04-29,No,item 1,"multi 1,multi 3,multi 5,multi 7,multi 9"
123441,CLARK FORKLIFT 441,2023-04-30,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
123442,CLARK FORKLIFT 442,2023-05-01,No,item 3,"multi 1,multi 3,multi 5,multi 7,multi 9"
