CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
223001,FORK PLATFORM 2.2.3 - 001,2023-11-07,Yes,item 1,"multi 1,multi 2,multi 3"
223002,FORK PLATFORM 2.2.3 - 002,06/11/2023,No,item 2,"multi 1,multi 3,multi 5"
223003,FORK PLATFORM 2.2.3 - 003,2023-10-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223004,FORK PLATFORM 2.2.3 - 004,2023-11-07,Yes,item 4,"multi 1,multi 2,multi 3"
223005,FORK PLATFORM 2.2.3 - 005,06/11/2023,No,item 5,"multi 1,multi 3,multi 5"
223006,FORK PLATFORM 2.2.3 - 006,2023-10-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223007,FORK PLATFORM 2.2.3 - 007,2023-11-07,Yes,item 7,"multi 1,multi 2,multi 3"
223008,FORK PLATFORM 2.2.3 - 008,06/11/2023,No,item 8,"multi 1,multi 3,multi 5"
223009,FORK PLATFORM 2.2.3 - 009,2023-10-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223010,FORK PLATFORM 2.2.3 - 010,2023-11-07,Yes,item 10,"multi 1,multi 2,multi 3"
223011,FORK PLATFORM 2.2.3 - 011,06/11/2023,No,item 1,"multi 1,multi 3,multi 5"
223012,FORK PLATFORM 2.2.3 - 012,2023-10-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223013,FORK PLATFORM 2.2.3 - 013,2023-11-07,Yes,item 3,"multi 1,multi 2,multi 3"
223014,FORK PLATFORM 2.2.3 - 014,06/11/2023,No,item 4,"multi 1,multi 3,multi 5"
223015,FORK PLATFORM 2.2.3 - 015,2023-10-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
223016,FORK PLATFORM 2.2.3 - 016,2023-11-07,Yes,item 6,"multi 1,multi 2,multi 3"
223017,FORK PLATFORM 2.2.3 - 017,06/11/2023,No,item 7,"multi 1,multi 3,multi 5"
223018,FORK PLATFORM 2.2.3 - 018,2023-10-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
223019,FORK PLATFORM 2.2.3 - 019,2023-11-07,Yes,item 9,"multi 1,multi 2,multi 3"
223020,FORK PLATFORM 2.2.3 - 020,06/11/2023,No,item 10,"multi 1,multi 3,multi 5"
223021,FORK PLATFORM 2.2.3 - 021,2023-10-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
223022,FORK PLATFORM 2.2.3 - 022,2023-11-07,Yes,item 2,"multi 1,multi 2,multi 3"
223023,FORK PLATFORM 2.2.3 - 023,06/11/2023,No,item 3,"multi 1,multi 3,multi 5"
223024,FORK PLATFORM 2.2.3 - 024,2023-10-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
223025,FORK PLATFORM 2.2.3 - 025,2023-11-07,Yes,item 5,"multi 1,multi 2,multi 3"
223026,FORK PLATFORM 2.2.3 - 026,06/11/2023,No,item 6,"multi 1,multi 3,multi 5"
223027,FORK PLATFORM 2.2.3 - 027,2023-10-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
223028,FORK PLATFORM 2.2.3 - 028,2023-11-07,Yes,item 8,"multi 1,multi 2,multi 3"
223029,FORK PLATFORM 2.2.3 - 029,06/11/2023,No,item 9,"multi 1,multi 3,multi 5"
223030,FORK PLATFORM 2.2.3 - 030,2023-10-07,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
223031,FORK PLATFORM 2.2.3 - 031,2023-11-07,Yes,item 1,"multi 1,multi 2,multi 3"
223032,FORK PLATFORM 2.2.3 - 032,06/11/2023,No,item 2,"multi 1,multi 3,multi 5"
223033,FORK PLATFORM 2.2.3 - 033,2023-10-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223034,FORK PLATFORM 2.2.3 - 034,2023-11-07,Yes,item 4,"multi 1,multi 2,multi 3"
223035,FORK PLATFORM 2.2.3 - 035,06/11/2023,No,item 5,"multi 1,multi 3,multi 5"
