CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
240001,FORK PLATFORM 2.4.0 - 001,2024-01-08,Yes,item 1,"multi 1,multi 2,multi 3"
240002,FORK PLATFORM 2.4.0 - 002,2024-01-06,No,item 2,"multi 1,multi 3,multi 5"
240003,FORK PLATFORM 2.4.0 - 003,2024-01-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
240004,FORK PLATFORM 2.4.0 - 004,2024-01-08,Yes,item 4,"multi 1,multi 2,multi 3"
240005,FORK PLATFORM 2.4.0 - 005,2024-01-06,No,item 5,"multi 1,multi 3,multi 5"
240006,FORK PLATFORM 2.4.0 - 006,2024-01-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
240007,FORK PLATFORM 2.4.0 - 007,2024-01-08,Yes,item 7,"multi 1,multi 2,multi 3"
240008,FORK PLATFORM 2.4.0 - 008,2024-01-06,No,item 8,"multi 1,multi 3,multi 5"
240009,FORK PLATFORM 2.4.0 - 009,2024-01-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
240010,FORK PLATFORM 2.4.0 - 010,2024-01-08,Yes,item 10,"multi 1,multi 2,multi 3"
240011,FORK PLATFORM 2.4.0 - 011,2024-01-06,No,item 1,"multi 1,multi 3,multi 5"
240012,FORK PLATFORM 2.4.0 - 012,2024-01-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
240013,FORK PLATFORM 2.4.0 - 013,2024-01-08,Yes,item 3,"multi 1,multi 2,multi 3"
240014,FORK PLATFORM 2.4.0 - 014,2024-01-06,No,item 4,"multi 1,multi 3,multi 5"
240015,FORK PLATFORM 2.4.0 - 015,2024-01-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
240016,FORK PLATFORM 2.4.0 - 016,2024-01-08,Yes,item 6,"multi 1,multi 2,multi 3"
240017,FORK PLATFORM 2.4.0 - 017,2024-01-06,No,item 7,"multi 1,multi 3,multi 5"
240018,FORK PLATFORM 2.4.0 - 018,2024-01-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
240019,FORK PLATFORM 2.4.0 - 019,2024-01-08,Yes,item 9,"multi 1,multi 2,multi 3"
240020,FORK PLATFORM 2.4.0 - 020,2024-01-06,No,item 10,"multi 1,multi 3,multi 5"
240021,FORK PLATFORM 2.4.0 - 021,2024-01-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
240022,FORK PLATFORM 2.4.0 - 022,2024-01-08,Yes,item 2,"multi 1,multi 2,multi 3"
240023,FORK PLATFORM 2.4.0 - 023,2024-01-06,No,item 3,"multi 1,multi 3,multi 5"
240024,FORK PLATFORM 2.4.0 - 024,2024-01-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
240025,FORK PLATFORM 2.4.0 - 025,2024-01-08,Yes,item 5,"multi 1,multi 2,multi 3"
240026,FORK PLATFORM 2.4.0 - 026,2024-01-06,No,item 6,"multi 1,multi 3,multi 5"
240027,FORK PLATFORM 2.4.0 - 027,2024-01-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
240028,FORK PLATFORM 2.4.0 - 028,2024-01-08,Yes,item 8,"multi 1,multi 2,multi 3"
240029,FORK PLATFORM 2.4.0 - 029,2024-01-06,No,item 9,"multi 1,multi 3,multi 5"
240030,FORK PLATFORM 2.4.0 - 030,2024-01-07,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
240031,FORK PLATFORM 2.4.0 - 031,2024-01-08,Yes,item 1,"multi 1,multi 2,multi 3"
240032,FORK PLATFORM 2.4.0 - 032,2024-01-06,No,item 2,"multi 1,multi 3,multi 5"
240033,FORK PLATFORM 2.4.0 - 033,2024-01-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
240034,FORK PLATFORM 2.4.0 - 034,2024-01-08,Yes,item 4,"multi 1,multi 2,multi 3"
240035,FORK PLATFORM 2.4.0 - 035,2024-01-06,No,item 5,"multi 1,multi 3,multi 5"
240036,FORK PLATFORM 2.4.0 - 036,2024-01-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
240037,FORK PLATFORM 2.4.0 - 037,2024-01-08,Yes,item 7,"multi 1,multi 2,multi 3"
240038,FORK PLATFORM 2.4.0 - 038,2024-01-06,No,item 8,"multi 1,multi 3,multi 5"
240039,FORK PLATFORM 2.4.0 - 039,2024-01-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
240040,FORK PLATFORM 2.4.0 - 040,2024-01-08,Yes,item 10,"multi 1,multi 2,multi 3"
240041,FORK PLATFORM 2.4.0 - 041,2024-01-06,No,item 1,"multi 1,multi 3,multi 5"
240042,FORK PLATFORM 2.4.0 - 042,2024-01-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
240043,FORK PLATFORM 2.4.0 - 043,2024-01-08,Yes,item 3,"multi 1,multi 2,multi 3"
240044,FORK PLATFORM 2.4.0 - 044,2024-01-06,No,item 4,"multi 1,multi 3,multi 5"
240045,FORK PLATFORM 2.4.0 - 045,2024-01-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
240046,FORK PLATFORM 2.4.0 - 046,2024-01-08,Yes,item 6,"multi 1,multi 2,multi 3"
240047,FORK PLATFORM 2.4.0 - 047,2024-01-06,No,item 7,"multi 1,multi 3,multi 5"
240048,FORK PLATFORM 2.4.0 - 048,2024-01-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
240049,FORK PLATFORM 2.4.0 - 049,2024-01-08,Yes,item 9,"multi 1,multi 2,multi 3"
240050,FORK PLATFORM 2.4.0 - 050,2024-01-06,No,item 10,"multi 1,multi 3,multi 5"
240051,FORK PLATFORM 2.4.0 - 051,2024-01-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
240052,FORK PLATFORM 2.4.0 - 052,2024-01-08,Yes,item 2,"multi 1,multi 2,multi 3"
240053,FORK PLATFORM 2.4.0 - 053,2024-01-06,No,item 3,"multi 1,multi 3,multi 5"
240054,FORK PLATFORM 2.4.0 - 054,2024-01-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
240055,FORK PLATFORM 2.4.0 - 055,2024-01-08,Yes,item 5,"multi 1,multi 2,multi 3"
240056,FORK PLATFORM 2.4.0 - 056,2024-01-06,No,item 6,"multi 1,multi 3,multi 5"
240057,FORK PLATFORM 2.4.0 - 057,2024-01-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
240058,FORK PLATFORM 2.4.0 - 058,2024-01-08,Yes,item 8,"multi 1,multi 2,multi 3"
240059,FORK PLATFORM 2.4.0 - 059,2024-01-06,No,item 9,"multi 1,multi 3,multi 5"
240060,FORK PLATFORM 2.4.0 - 060,2024-01-07,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
240061,FORK PLATFORM 2.4.0 - 061,2024-01-08,Yes,item 1,"multi 1,multi 2,multi 3"
240062,FORK PLATFORM 2.4.0 - 062,2024-01-06,No,item 2,"multi 1,multi 3,multi 5"
240063,FORK PLATFORM 2.4.0 - 063,2024-01-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
240064,FORK PLATFORM 2.4.0 - 064,2024-01-08,Yes,item 4,"multi 1,multi 2,multi 3"
240065,FORK PLATFORM 2.4.0 - 065,2024-01-06,No,item 5,"multi 1,multi 3,multi 5"
240066,FORK PLATFORM 2.4.0 - 066,2024-01-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
240067,FORK PLATFORM 2.4.0 - 067,2024-01-08,Yes,item 7,"multi 1,multi 2,multi 3"
240068,FORK PLATFORM 2.4.0 - 068,2024-01-06,No,item 8,"multi 1,multi 3,multi 5"
240069,FORK PLATFORM 2.4.0 - 069,2024-01-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
240070,FORK PLATFORM 2.4.0 - 070,2024-01-08,Yes,item 10,"multi 1,multi 2,multi 3"
240071,FORK PLATFORM 2.4.0 - 071,2024-01-06,No,item 1,"multi 1,multi 3,multi 5"
240072,FORK PLATFORM 2.4.0 - 072,2024-01-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
240073,FORK PLATFORM 2.4.0 - 073,2024-01-08,Yes,item 3,"multi 1,multi 2,multi 3"
240074,FORK PLATFORM 2.4.0 - 074,2024-01-06,No,item 4,"multi 1,multi 3,multi 5"
240075,FORK PLATFORM 2.4.0 - 075,2024-01-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
240076,FORK PLATFORM 2.4.0 - 076,2024-01-08,Yes,item 6,"multi 1,multi 2,multi 3"
240077,FORK PLATFORM 2.4.0 - 077,2024-01-06,No,item 7,"multi 1,multi 3,multi 5"
240078,FORK PLATFORM 2.4.0 - 078,2024-01-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
240079,FORK PLATFORM 2.4.0 - 079,2024-01-08,Yes,item 9,"multi 1,multi 2,multi 3"
240080,FORK PLATFORM 2.4.0 - 080,2024-01-12,false,item 9,"multi 1,multi 3,multi 5"
240081,FORK PLATFORM 2.4.0 - 081,2024-01-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
240082,FORK PLATFORM 2.4.0 - 082,2024-01-08,Yes,item 2,"multi 1,multi 2,multi 3"
240083,FORK PLATFORM 2.4.0 - 083,2024-01-06,No,item 3,"multi 1,multi 3,multi 5"
240084,FORK PLATFORM 2.4.0 - 084,2024-01-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
240085,FORK PLATFORM 2.4.0 - 085,2024-01-08,Yes,item 5,"multi 1,multi 2,multi 3"
240086,FORK PLATFORM 2.4.0 - 086,2024-01-06,No,item 6,"multi 1,multi 3,multi 5"
240087,FORK PLATFORM 2.4.0 - 087,2024-01-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
240088,FORK PLATFORM 2.4.0 - 088,2024-01-08,Yes,item 8,"multi 1,multi 2,multi 3"
