CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
250001,FORK PLATFORM 2.4.0 - 001,2024-01-08,Yes,item 1,"multi 1,multi 2,multi 3"
250002,FORK PLATFORM 2.4.0 - 002,2024-01-06,No,item 2,"multi 1,multi 3,multi 5"
250003,FORK PLATFORM 2.4.0 - 003,2024-01-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
250004,FORK PLATFORM 2.4.0 - 004,2024-01-08,Yes,item 4,"multi 1,multi 2,multi 3"
250005,FORK PLATFORM 2.4.0 - 005,2024-01-06,No,item 5,"multi 1,multi 3,multi 5"
250006,FORK PLATFORM 2.4.0 - 006,2024-01-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
250007,FORK PLATFORM 2.4.0 - 007,2024-01-08,Yes,item 7,"multi 1,multi 2,multi 3"
250008,FORK PLATFORM 2.4.0 - 008,2024-01-06,No,item 8,"multi 1,multi 3,multi 5"
250009,FORK PLATFORM 2.4.0 - 009,2024-01-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
250010,FORK PLATFORM 2.4.0 - 010,2024-01-08,Yes,item 10,"multi 1,multi 2,multi 3"
250011,FORK PLATFORM 2.4.0 - 011,2024-01-06,No,item 1,"multi 1,multi 3,multi 5"
250012,FORK PLATFORM 2.4.0 - 012,2024-01-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
250013,FORK PLATFORM 2.4.0 - 013,2024-01-08,Yes,item 3,"multi 1,multi 2,multi 3"
250014,FORK PLATFORM 2.4.0 - 014,2024-01-06,No,item 4,"multi 1,multi 3,multi 5"
250015,FORK PLATFORM 2.4.0 - 015,2024-01-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
250016,FORK PLATFORM 2.4.0 - 016,2024-01-08,Yes,item 6,"multi 1,multi 2,multi 3"
250017,FORK PLATFORM 2.4.0 - 017,2024-01-06,No,item 7,"multi 1,multi 3,multi 5"
250018,FORK PLATFORM 2.4.0 - 018,2024-01-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
250019,FORK PLATFORM 2.4.0 - 019,2024-01-08,Yes,item 9,"multi 1,multi 2,multi 3"
250020,FORK PLATFORM 2.4.0 - 020,2024-01-06,No,item 10,"multi 1,multi 3,multi 5"
250021,FORK PLATFORM 2.4.0 - 021,2024-01-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
250022,FORK PLATFORM 2.4.0 - 022,2024-01-08,Yes,item 2,"multi 1,multi 2,multi 3"
250023,FORK PLATFORM 2.4.0 - 023,2024-01-06,No,item 3,"multi 1,multi 3,multi 5"
250024,FORK PLATFORM 2.4.0 - 024,2024-01-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
250025,FORK PLATFORM 2.4.0 - 025,2024-01-08,Yes,item 5,"multi 1,multi 2,multi 3"
250026,FORK PLATFORM 2.4.0 - 026,2024-01-06,No,item 6,"multi 1,multi 3,multi 5"
250027,FORK PLATFORM 2.4.0 - 027,2024-01-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
250028,FORK PLATFORM 2.4.0 - 028,2024-01-08,Yes,item 8,"multi 1,multi 2,multi 3"
250029,FORK PLATFORM 2.4.0 - 029,2024-01-06,No,item 9,"multi 1,multi 3,multi 5"
250030,FORK PLATFORM 2.4.0 - 030,2024-01-07,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
250031,FORK PLATFORM 2.4.0 - 031,2024-01-08,Yes,item 1,"multi 1,multi 2,multi 3"
250032,FORK PLATFORM 2.4.0 - 032,2024-01-06,No,item 2,"multi 1,multi 3,multi 5"
250033,FORK PLATFORM 2.4.0 - 033,2024-01-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
250034,FORK PLATFORM 2.4.0 - 034,2024-01-08,Yes,item 4,"multi 1,multi 2,multi 3"
250035,FORK PLATFORM 2.4.0 - 035,2024-01-06,No,item 5,"multi 1,multi 3,multi 5"
250036,FORK PLATFORM 2.4.0 - 036,2024-01-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
250037,FORK PLATFORM 2.4.0 - 037,2024-01-08,Yes,item 7,"multi 1,multi 2,multi 3"
250038,FORK PLATFORM 2.4.0 - 038,2024-01-06,No,item 8,"multi 1,multi 3,multi 5"
250039,FORK PLATFORM 2.4.0 - 039,2024-01-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
250040,FORK PLATFORM 2.4.0 - 040,2024-01-08,Yes,item 10,"multi 1,multi 2,multi 3"
250041,FORK PLATFORM 2.4.0 - 041,2024-01-06,No,item 1,"multi 1,multi 3,multi 5"
250042,FORK PLATFORM 2.4.0 - 042,2024-01-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
250043,FORK PLATFORM 2.4.0 - 043,2024-01-08,Yes,item 3,"multi 1,multi 2,multi 3"
250044,FORK PLATFORM 2.4.0 - 044,2024-01-06,No,item 4,"multi 1,multi 3,multi 5"
250045,FORK PLATFORM 2.4.0 - 045,2024-01-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
250046,FORK PLATFORM 2.4.0 - 046,2024-01-08,Yes,item 6,"multi 1,multi 2,multi 3"
250047,FORK PLATFORM 2.4.0 - 047,2024-01-06,No,item 7,"multi 1,multi 3,multi 5"
250048,FORK PLATFORM 2.4.0 - 048,2024-01-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
250049,FORK PLATFORM 2.4.0 - 049,2024-01-08,Yes,item 9,"multi 1,multi 2,multi 3"
250050,FORK PLATFORM 2.4.0 - 050,2024-01-06,No,item 10,"multi 1,multi 3,multi 5"
250051,FORK PLATFORM 2.4.0 - 051,2024-01-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
250052,FORK PLATFORM 2.4.0 - 052,2024-01-08,Yes,item 2,"multi 1,multi 2,multi 3"
250053,FORK PLATFORM 2.4.0 - 053,2024-01-06,No,item 3,"multi 1,multi 3,multi 5"
250054,FORK PLATFORM 2.4.0 - 054,2024-01-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
250055,FORK PLATFORM 2.4.0 - 055,2024-01-08,Yes,item 5,"multi 1,multi 2,multi 3"
250056,FORK PLATFORM 2.4.0 - 056,2024-01-06,No,item 6,"multi 1,multi 3,multi 5"
250057,FORK PLATFORM 2.4.0 - 057,2024-01-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
250058,FORK PLATFORM 2.4.0 - 058,2024-01-08,Yes,item 8,"multi 1,multi 2,multi 3"
250059,FORK PLATFORM 2.4.0 - 059,2024-01-06,No,item 9,"multi 1,multi 3,multi 5"
250060,FORK PLATFORM 2.4.0 - 060,2024-01-07,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
250061,FORK PLATFORM 2.4.0 - 061,2024-01-08,Yes,item 1,"multi 1,multi 2,multi 3"
250062,FORK PLATFORM 2.4.0 - 062,2024-01-06,No,item 2,"multi 1,multi 3,multi 5"
250063,FORK PLATFORM 2.4.0 - 063,2024-01-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
250064,FORK PLATFORM 2.4.0 - 064,2024-01-08,Yes,item 4,"multi 1,multi 2,multi 3"
250065,FORK PLATFORM 2.4.0 - 065,2024-01-06,No,item 5,"multi 1,multi 3,multi 5"
250066,FORK PLATFORM 2.4.0 - 066,2024-01-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
250067,FORK PLATFORM 2.4.0 - 067,2024-01-08,Yes,item 7,"multi 1,multi 2,multi 3"
250068,FORK PLATFORM 2.4.0 - 068,2024-01-06,No,item 8,"multi 1,multi 3,multi 5"
250069,FORK PLATFORM 2.4.0 - 069,2024-01-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
250070,FORK PLATFORM 2.4.0 - 070,2024-01-08,Yes,item 10,"multi 1,multi 2,multi 3"
250071,FORK PLATFORM 2.4.0 - 071,2024-01-06,No,item 1,"multi 1,multi 3,multi 5"
250072,FORK PLATFORM 2.4.0 - 072,2024-01-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
250073,FORK PLATFORM 2.4.0 - 073,2024-01-08,Yes,item 3,"multi 1,multi 2,multi 3"
250074,FORK PLATFORM 2.4.0 - 074,2024-01-06,No,item 4,"multi 1,multi 3,multi 5"
250075,FORK PLATFORM 2.4.0 - 075,2024-01-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
250076,FORK PLATFORM 2.4.0 - 076,2024-01-08,Yes,item 6,"multi 1,multi 2,multi 3"
250077,FORK PLATFORM 2.4.0 - 077,2024-01-06,No,item 7,"multi 1,multi 3,multi 5"
250078,FORK PLATFORM 2.4.0 - 078,2024-01-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
250079,FORK PLATFORM 2.4.0 - 079,2024-01-08,Yes,item 9,"multi 1,multi 2,multi 3"
250080,FORK PLATFORM 2.4.0 - 080,2024-01-12,false,item 9,"multi 1,multi 3,multi 5"
250081,FORK PLATFORM 2.4.0 - 081,2024-01-07,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
250082,FORK PLATFORM 2.4.0 - 082,2024-01-08,Yes,item 2,"multi 1,multi 2,multi 3"
250083,FORK PLATFORM 2.4.0 - 083,2024-01-06,No,item 3,"multi 1,multi 3,multi 5"
250084,FORK PLATFORM 2.4.0 - 084,2024-01-07,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
250085,FORK PLATFORM 2.4.0 - 085,2024-01-08,Yes,item 5,"multi 1,multi 2,multi 3"
250086,FORK PLATFORM 2.4.0 - 086,2024-01-06,No,item 6,"multi 1,multi 3,multi 5"
250087,FORK PLATFORM 2.4.0 - 087,2024-01-07,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
250088,FORK PLATFORM 2.4.0 - 088,2024-01-08,Yes,item 8,"multi 1,multi 2,multi 3"
250089,FORK PLATFORM 2.4.0 - 089,2024-01-06,No,item 9,"multi 1,multi 3,multi 5"
