CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
223001,FORK PLATFORM 2.2.3 - 001,7/11/2023,Yes,item 1,"multi 1,multi 2,multi 3"
223002,FORK PLATFORM 2.2.3 - 002,6/11/2023,No,item 2,multi 1,multi 3,multi 5
223003,FORK PLATFORM 2.2.3 - 003,7/10/2023,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223004,FORK PLATFORM 2.2.3 - 004,7/11/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223005,FORK PLATFORM 2.2.3 - 005,6/11/2023,No,item 5,multi 1,multi 3,multi 5
223006,FORK PLATFORM 2.2.3 - 006,7/10/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223007,FORK PLATFORM 2.2.3 - 007,7/11/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223008,FORK PLATFORM 2.2.3 - 008,6/11/2023,No,item 8,multi 1,multi 3,multi 5
223009,FORK PLATFORM 2.2.3 - 009,7/10/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223010,FORK PLATFORM 2.2.3 - 010,7/11/2023,Yes,item 10,"multi 1,multi 2,multi 3"
223011,FORK PLATFORM 2.2.3 - 011,6/11/2023,No,item 1,multi 1,multi 3,multi 5
223012,FORK PLATFORM 2.2.3 - 012,7/10/2023,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223013,FORK PLATFORM 2.2.3 - 013,7/11/2023,Yes,item 3,"multi 1,multi 2,multi 3"
223014,FORK PLATFORM 2.2.3 - 014,6/11/2023,No,item 4,multi 1,multi 3,multi 5
223015,FORK PLATFORM 2.2.3 - 015,7/10/2023,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
223016,FORK PLATFORM 2.2.3 - 016,7/11/2023,Yes,item 6,"multi 1,multi 2,multi 3"
223017,FORK PLATFORM 2.2.3 - 017,6/11/2023,No,item 7,multi 1,multi 3,multi 5
223018,FORK PLATFORM 2.2.3 - 018,7/10/2023,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
223019,FORK PLATFORM 2.2.3 - 019,7/11/2023,Yes,item 9,"multi 1,multi 2,multi 3"
223020,FORK PLATFORM 2.2.3 - 020,6/11/2023,No,item 10,multi 1,multi 3,multi 5
223021,FORK PLATFORM 2.2.3 - 021,7/10/2023,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
