CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
223001,FORK PLATFORM 2.3.0 - 001,7/11/2023,Yes,item 1,"multi 1,multi 2,multi 3"
223002,FORK PLATFORM 2.3.0 - 002,6/11/2023,No,item 2,"multi 1,multi 3,multi 5"
223003,FORK PLATFORM 2.3.0 - 003,7/10/2023,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223004,FORK PLATFORM 2.3.0 - 004,7/11/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223005,FORK PLATFORM 2.3.0 - 005,6/11/2023,No,item 5,"multi 1,multi 3,multi 5"
223006,FORK PLATFORM 2.3.0 - 006,7/10/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223007,FORK PLATFORM 2.3.0 - 007,7/11/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223008,FORK PLATFORM 2.3.0 - 008,6/11/2023,No,item 8,"multi 1,multi 3,multi 5"
223009,FORK PLATFORM 2.3.0 - 009,7/10/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223010,FORK PLATFORM 2.3.0 - 010,7/11/2023,Yes,item 10,"multi 1,multi 2,multi 3"
223011,FORK PLATFORM 2.3.0 - 011,6/11/2023,No,item 1,"multi 1,multi 3,multi 5"
223012,FORK PLATFORM 2.3.0 - 012,7/10/2023,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223013,FORK PLATFORM 2.3.0 - 013,7/11/2023,Yes,item 3,"multi 1,multi 2,multi 3"
223014,FORK PLATFORM 2.3.0 - 014,6/11/2023,No,item 4,"multi 1,multi 3,multi 5"
223015,FORK PLATFORM 2.3.0 - 015,7/10/2023,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
223016,FORK PLATFORM 2.3.0 - 016,7/11/2023,Yes,item 6,"multi 1,multi 2,multi 3"
223017,FORK PLATFORM 2.3.0 - 017,6/11/2023,No,item 7,"multi 1,multi 3,multi 5"
223018,FORK PLATFORM 2.3.0 - 018,7/10/2023,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
223019,FORK PLATFORM 2.3.0 - 019,7/11/2023,Yes,item 9,"multi 1,multi 2,multi 3"
223020,FORK PLATFORM 2.3.0 - 020,6/11/2023,No,item 10,"multi 1,multi 3,multi 5"
223021,FORK PLATFORM 2.3.0 - 021,7/10/2023,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
223022,FORK PLATFORM 2.3.0 - 022,7/11/2023,Yes,item 2,"multi 1,multi 2,multi 3"
223023,FORK PLATFORM 2.3.0 - 023,6/11/2023,No,item 3,"multi 1,multi 3,multi 5"
223024,FORK PLATFORM 2.3.0 - 024,7/10/2023,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
223025,FORK PLATFORM 2.3.0 - 025,7/11/2023,Yes,item 5,"multi 1,multi 2,multi 3"
223026,FORK PLATFORM 2.3.0 - 026,6/11/2023,No,item 6,"multi 1,multi 3,multi 5"
223027,FORK PLATFORM 2.3.0 - 027,7/10/2023,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
223028,FORK PLATFORM 2.3.0 - 028,7/11/2023,Yes,item 8,"multi 1,multi 2,multi 3"
223029,FORK PLATFORM 2.3.0 - 029,6/11/2023,No,item 9,"multi 1,multi 3,multi 5"
223030,FORK PLATFORM 2.3.0 - 030,7/10/2023,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
223031,FORK PLATFORM 2.3.0 - 031,7/11/2023,Yes,item 1,"multi 1,multi 2,multi 3"
223032,FORK PLATFORM 2.3.0 - 032,6/11/2023,No,item 2,"multi 1,multi 3,multi 5"
223033,FORK PLATFORM 2.3.0 - 033,7/10/2023,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223034,FORK PLATFORM 2.3.0 - 034,7/11/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223035,FORK PLATFORM 2.3.0 - 035,6/11/2023,No,item 5,"multi 1,multi 3,multi 5"
223036,FORK PLATFORM 2.3.0 - 036,7/10/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223037,FORK PLATFORM 2.3.0 - 037,7/11/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223038,FORK PLATFORM 2.3.0 - 038,6/11/2023,No,item 8,"multi 1,multi 3,multi 5"
223039,FORK PLATFORM 2.3.0 - 039,7/10/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
