Component ID,serial number,project number,production number,total quantity,door type,shipping address
K065191-01Door_Leaf,K065191-01,2301066,K065191/002,2,KH-1010 KIT,COES LOGIS
K065191-02Door_Leaf,K065191-02,2301066,K065191/002,2,KH-1010 KIT,COES LOGIS
K065191-01Door_Frame,K065191-01,2301066,K065191/005,2,KH-1010 KIT,COES LOGIS
K065191-02Door_Frame,K065191-02,2301066,K065191/005,2,KH-1010 KIT,COES LOGIS
K065192-01Door_Leaf,K065192-01,2301066,K065192/002,1,KH-1010 KIT,COES LOGIS
K065192-01Door_Frame,K065192-01,2301066,K065192/005,1,KH-1010 KIT,COES LOGIS
X012983-03Door_Frame,X012983-03,2303087,X012983/002,4,KOZIJN,GEERLOFS
X012983-04Door_Frame,X012983-04,2303087,X012983/002,4,KOZIJN,GEERLOFS
X012983-01Door_Frame,X012983-01,2303087,X012983/002,4,KOZIJN,GEERLOFS
X012983-02Door_Frame,X012983-02,2303087,X012983/002,4,KOZIJN,GEERLOFS
