component ID,serial number,project number,production number,total quantity,door type,shipping address
K072382-01Door_Leaf,K072382-01,2204160,K072382/003,1,KH-1010,WEGROW
K072382-01Door_Panel,K072382-01,2204160,K072382/004,1,KH-1010,WEGROW
K072382-01Door_Frame,K072382-01,2204160,K072382/007,1,KH-1010,WEGROW
K074612-01Door_Leaf,K074612-01,2107530,K074612/003,1,VH-1414VK,NEWCOLD
K074612-01Door_Panel,K074612-01,2107530,K074612/005,1,VH-1414VK,NEWCOLD
K074612-01Door_Frame,K074612-01,2107530,K074612/008,1,VH-1414VK,NEWCOLD
K074756-02Door_Leaf,K074756-02,2107530,K074756/003,3,AL-0804-H,NEWCOLD
K074756-03Door_Leaf,K074756-03,2107530,K074756/003,3,AL-0804-H,NEWCOLD
K074756-01Door_Leaf,K074756-01,2107530,K074756/003,3,AL-0804-H,NEWCOLD
K074756-02Door_Panel,K074756-02,2107530,K074756/004,3,AL-0804-H,NEWCOLD
K074756-01Door_Panel,K074756-01,2107530,K074756/004,3,AL-0804-H,NEWCOLD
K074756-03Door_Panel,K074756-03,2107530,K074756/004,3,AL-0804-H,NEWCOLD
K074756-01Door_Frame,K074756-01,2107530,K074756/005,3,AL-0804-H,NEWCOLD
K074756-03Door_Frame,K074756-03,2107530,K074756/005,3,AL-0804-H,NEWCOLD
K074756-02Door_Frame,K074756-02,2107530,K074756/005,3,AL-0804-H,NEWCOLD
K074852-02Door_Leaf,K074852-02,2107530,K074852/003,2,VH-1414V (ATU),NEWCOLD
K074852-01Door_Leaf,K074852-01,2107530,K074852/003,2,VH-1414V (ATU),NEWCOLD
K074852-01Door_Panel,K074852-01,2107530,K074852/004,2,VH-1414V (ATU),NEWCOLD
K074852-02Door_Panel,K074852-02,2107530,K074852/004,2,VH-1414V (ATU),NEWCOLD
K074852-01Door_Frame,K074852-01,2107530,K074852/008,2,VH-1414V (ATU),NEWCOLD
K074852-02Door_Frame,K074852-02,2107530,K074852/008,2,VH-1414V (ATU),NEWCOLD
K074613-01Door_Leaf,K074613-01,2107530,K074613/003,1,VH-1414,NEWCOLD
K074613-01Door_Panel,K074613-01,2107530,K074613/004,1,VH-1414,NEWCOLD
K074613-01Door_Frame,K074613-01,2107530,K074613/007,1,VH-1414,NEWCOLD
K074807-01Door_Panel,K074807-01,2107530,K074807/004,1,VH-1414-stel,NEWCOLD
K074808-01Door_Panel,K074808-01,2107530,K074808/004,1,VH-1414-stel,NEWCOLD
K074810-01Door_Panel,K074810-01,2107530,K074810/004,1,VH-1414-stel,NEWCOLD
K074811-01Door_Panel,K074811-01,2107530,K074811/004,1,VH-1414-stel,NEWCOLD
K075465-02Door_Panel,K075465-02,2206546,K075465/004,2,AL-1010-H,NEW COLD
K075465-01Door_Panel,K075465-01,2206546,K075465/004,2,AL-1010-H,NEW COLD
K075469-05Door_Panel,K075469-05,2206546,K075469/005,8,AL-1010-H,NEW COLD
K075469-08Door_Panel,K075469-08,2206546,K075469/005,8,AL-1010-H,NEW COLD
K075469-03Door_Panel,K075469-03,2206546,K075469/005,8,AL-1010-H,NEW COLD
K075469-07Door_Panel,K075469-07,2206546,K075469/005,8,AL-1010-H,NEW COLD
K075469-01Door_Panel,K075469-01,2206546,K075469/005,8,AL-1010-H,NEW COLD
K075469-02Door_Panel,K075469-02,2206546,K075469/005,8,AL-1010-H,NEW COLD
K075469-04Door_Panel,K075469-04,2206546,K075469/005,8,AL-1010-H,NEW COLD
K075469-06Door_Panel,K075469-06,2206546,K075469/005,8,AL-1010-H,NEW COLD
K075469-01Door_Leaf,K075469-01,2206546,K075469/004,8,AL-1010-H,NEW COLD
K075469-02Door_Leaf,K075469-02,2206546,K075469/004,8,AL-1010-H,NEW COLD
K075469-04Door_Leaf,K075469-04,2206546,K075469/004,8,AL-1010-H,NEW COLD
K075469-06Door_Leaf,K075469-06,2206546,K075469/004,8,AL-1010-H,NEW COLD
K075469-03Door_Leaf,K075469-03,2206546,K075469/004,8,AL-1010-H,NEW COLD
K075469-08Door_Leaf,K075469-08,2206546,K075469/004,8,AL-1010-H,NEW COLD
K075469-05Door_Leaf,K075469-05,2206546,K075469/004,8,AL-1010-H,NEW COLD
K075469-07Door_Leaf,K075469-07,2206546,K075469/004,8,AL-1010-H,NEW COLD
K075469-07Door_Frame,K075469-07,2206546,K075469/006,8,AL-1010-H,NEW COLD
K075469-03Door_Frame,K075469-03,2206546,K075469/006,8,AL-1010-H,NEW COLD
K075469-05Door_Frame,K075469-05,2206546,K075469/006,8,AL-1010-H,NEW COLD
K075469-02Door_Frame,K075469-02,2206546,K075469/006,8,AL-1010-H,NEW COLD
K075469-01Door_Frame,K075469-01,2206546,K075469/006,8,AL-1010-H,NEW COLD
K075469-08Door_Frame,K075469-08,2206546,K075469/006,8,AL-1010-H,NEW COLD
K075469-06Door_Frame,K075469-06,2206546,K075469/006,8,AL-1010-H,NEW COLD
K075469-04Door_Frame,K075469-04,2206546,K075469/006,8,AL-1010-H,NEW COLD
K075471-01Door_Panel,K075471-01,2206546,K075471/006,3,VH-1414VK KIT,NEW COLD
K075471-03Door_Panel,K075471-03,2206546,K075471/006,3,VH-1414VK KIT,NEW COLD
K075471-02Door_Panel,K075471-02,2206546,K075471/006,3,VH-1414VK KIT,NEW COLD
K075472-02Door_Panel,K075472-02,2206546,K075472/006,3,VH-1414VK KIT,NEW COLD
K075472-01Door_Panel,K075472-01,2206546,K075472/006,3,VH-1414VK KIT,NEW COLD
K075472-03Door_Panel,K075472-03,2206546,K075472/006,3,VH-1414VK KIT,NEW COLD
K075465-01Door_Leaf,K075465-01,2206546,K075465/003,2,AL-1010-H,NEW COLD
K075465-02Door_Leaf,K075465-02,2206546,K075465/003,2,AL-1010-H,NEW COLD
K075465-02Door_Frame,K075465-02,2206546,K075465/005,2,AL-1010-H,NEW COLD
K075465-01Door_Frame,K075465-01,2206546,K075465/005,2,AL-1010-H,NEW COLD
K075470-15Door_Leaf,K075470-15,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-14Door_Leaf,K075470-14,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-13Door_Leaf,K075470-13,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-12Door_Leaf,K075470-12,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-11Door_Leaf,K075470-11,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-10Door_Leaf,K075470-10,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-09Door_Leaf,K075470-09,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-08Door_Leaf,K075470-08,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-07Door_Leaf,K075470-07,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-06Door_Leaf,K075470-06,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-04Door_Leaf,K075470-04,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-03Door_Leaf,K075470-03,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-02Door_Leaf,K075470-02,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-01Door_Leaf,K075470-01,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
K075470-05Door_Leaf,K075470-05,2206546,K075470/002,18,VH-1414VK KIT,NEW COLD
